nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Capacitaciones PPD",34,0,"","","",12,"","","",20,"","","",0,"","","",32,"Buenos Aires","Vinculación","",1
"Berisso I","Alfabetización Digital",10,0,"","","",5,"","","",2,"","","",0,"","","",7,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",20,"","","",55,"","","",0,"","","",75,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Capacitaciones PPD",34,0,"","","",2,"","","",3,"","","",0,"","","",5,"Buenos Aires","Vinculación","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",5,"","","",132,"","","",0,"","","",137,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",24,"","","",214,"","","",0,"","","",238,"Buenos Aires","Inserción al mundo laboral","Armado de CV",5
"Cañuelas","Educación",16,0,"","","",29,"","","",146,"","","",0,"","","",175,"Buenos Aires","Complementos de la educación formal","FINES",8
"Cañuelas","Trámites",22,0,"","","",51,"","","",299,"","","",42,"","","",392,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Cultura y Entretenimiento",31,66,"","","",460,"","","",120,"","","",0,"","","",646,"Buenos Aires","Uso Libre","Navegación libre",3
"Carmen de Patagones","Educación",16,0,"","","",80,"","","",260,"","","",200,"","","",540,"Buenos Aires","Complementos de la educación formal","Otros",2
"Carmen de Patagones","Cultura y Entretenimiento",31,32,"","","",0,"","","",200,"","","",100,"","","",332,"Buenos Aires","Artes","Otros",2
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",3,"","","",22,"","","",25,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",7
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,2,"","","",0,"","","",109,"","","",18,"","","",129,"Buenos Aires","Trámites Nacionales","ANSES",2
