nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",48,"","","",42,"","","",0,"","","",90,"Buenos Aires","Comunidad","Otros",4
"Berisso I","Trámites",22,0,"","","",0,"","","",37,"","","",9,"","","",46,"Buenos Aires","Trámites Nacionales","AFIP",3
"Cañuelas","Trámites",22,0,"","","",3,"","","",20,"","","",3,"","","",26,"Buenos Aires","Trámites Nacionales","Otros",2
"Cañuelas","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",5,"","","",30,"","","",9,"","","",44,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,1,"","","",3,"","","",0,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",17,"","","",0,"","","",17,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,2,"","","",0,"","","",1,"","","",0,"","","",3,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",1,"","","",18,"","","",0,"","","",19,"Buenos Aires","Complementos de la educación formal","Otros",1
