nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",1
"Berisso I","Formación Laboral",13,0,"","","",25,"","","",8,"","","",0,"","","",33,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",35,"","","",116,"","","",70,"","","",221,"Buenos Aires","Trámites Nacionales","Otros",3
"Berisso I","Cultura y Entretenimiento",31,0,"","","",0,"","","",90,"","","",70,"","","",160,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",8,"","","",3,"","","",11,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",8,"","","",7,"","","",15,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",20,"","","",100,"","","",49,"","","",169,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",1,"","","",7,"","","",0,"","","",8,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",125,"","","",109,"","","",234,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,15,"","","",36,"","","",10,"","","",1,"","","",62,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",14,"","","",6,"","","",0,"","","",20,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",21,"","","",0,"","","",21,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",1,"","","",134,"","","",327,"","","",462,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Comunidad","Otros",2
"Dolores (CAJ)","Alfabetización Digital",10,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Artes","Otros",1
"General Las Heras","Ciudadanía y DD",25,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Comunidad","Otros",2
"General Las Heras","Alfabetización Digital",10,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",6,"","","",70,"","","",0,"","","",76,"Buenos Aires","Complementos de la educación formal","Otros",4
"General Las Heras","Trámites",22,0,"","","",1,"","","",3,"","","",0,"","","",4,"Buenos Aires","Trámites Nacionales","PROGRESAR",1
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"General Rodríguez","Trámites",22,0,"","","",5,"","","",40,"","","",0,"","","",45,"Buenos Aires","Trámites Nacionales","Otros",3
"General Rodríguez","Cultura y Entretenimiento",31,0,"","","",0,"","","",40,"","","",30,"","","",70,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",5,"","","",32,"","","",4,"","","",41,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",4,"","","",32,"","","",0,"","","",36,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",1,"","","",7,"","","",0,"","","",8,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",0,"","","",68,"","","",0,"","","",68,"Buenos Aires","Complementos de la educación formal","Otros",2
"Lanús I (Pupi)","Trámites",22,0,"","","",0,"","","",70,"","","",10,"","","",80,"Buenos Aires","Trámites Nacionales","Otros",2
"Luján","Alfabetización Digital",10,40,"","","",10,"","","",30,"","","",0,"","","",80,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Luján","Formación Laboral",13,0,"","","",25,"","","",10,"","","",0,"","","",35,"Buenos Aires","Oficios digitales","Otras",1
"Luján","Educación",16,50,"","","",55,"","","",0,"","","",0,"","","",105,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Luján","Trámites",22,0,"","","",85,"","","",120,"","","",10,"","","",215,"Buenos Aires","Trámites Nacionales","PROGRESAR",3
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",50,"","","",950,"Buenos Aires","Comunidad","Otros",1
"Luján","Cultura y Entretenimiento",31,190,"","","",137,"","","",170,"","","",10,"","","",507,"Buenos Aires","Artes","Otros",16
"Marcos Paz I (CIC)","Ciudadanía y DD",25,66,"","","",222,"","","",118,"","","",1,"","","",407,"Buenos Aires","Comunidad","Otros",11
"Marcos Paz II (UMI)","Ciudadanía y DD",25,66,"","","",222,"","","",118,"","","",1,"","","",407,"Buenos Aires","Comunidad","Otros",11
"General Alvarado I (Miramar)","Educación",16,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"General Alvarado I (Miramar)","Ciudadanía y DD",25,40,"","","",93,"","","",41,"","","",0,"","","",174,"Buenos Aires","Comunidad","Otros",4
"General Alvarado I (Miramar)","Cultura y Entretenimiento",31,130,"","","",20,"","","",130,"","","",0,"","","",280,"Buenos Aires","Artes","Otros",2
"Pigüé","Ciudadanía y DD",25,0,"","","",4,"","","",19,"","","",7,"","","",30,"Buenos Aires","Comunidad","Otros",1
"Pigüé","Alfabetización Digital",10,0,"","","",34,"","","",182,"","","",55,"","","",271,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Pigüé","Formación Laboral",13,84,"","","",31,"","","",0,"","","",0,"","","",115,"Buenos Aires","Oficios digitales","Otras",2
"Pigüé","Educación",16,36,"","","",84,"","","",127,"","","",25,"","","",272,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",4
"Pigüé","Trámites",22,30,"","","",109,"","","",73,"","","",0,"","","",212,"Buenos Aires","Trámites Nacionales","AFIP",3
"Pigüé","Ciudadanía y DD",25,0,"","","",258,"","","",378,"","","",145,"","","",781,"Buenos Aires","Comunidad","Capacitación a agentes municipales",11
"Urdampilleta","Alfabetización Digital",10,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",4,"","","",68,"","","",18,"","","",90,"Buenos Aires","Trámites Nacionales","AFIP",9
"Villa Gesell","Trámites",22,0,"","","",89,"","","",145,"","","",55,"","","",289,"Buenos Aires","Trámites Nacionales","ANSES",1
"Villa Gesell","Ciudadanía y DD",25,221,"","","",231,"","","",149,"","","",29,"","","",630,"Buenos Aires","Comunidad","Otros",1
"Villa Gesell","Cultura y Entretenimiento",31,139,"","","",215,"","","",95,"","","",42,"","","",491,"Buenos Aires","Uso Libre","Navegación libre",1
"Azul","Alfabetización Digital",10,0,"","","",32,"","","",72,"","","",0,"","","",104,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Azul","Trámites",22,0,"","","",37,"","","",125,"","","",40,"","","",202,"Buenos Aires","Trámites Nacionales","Otros",1
"Morón II (Castelar)","Alfabetización Digital",10,0,"","","",2,"","","",54,"","","",69,"","","",125,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Morón II (Castelar)","Formación Laboral",13,0,"","","",4,"","","",18,"","","",5,"","","",27,"Buenos Aires","Oficios digitales","Otras",1
"Morón II (Castelar)","Educación",16,28,"","","",24,"","","",12,"","","",0,"","","",64,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Morón II (Castelar)","Trámites",22,29,"","","",99,"","","",282,"","","",217,"","","",627,"Buenos Aires","Trámites Nacionales","AFIP",5
"Roque Pérez","Alfabetización Digital",10,0,"","","",5,"","","",20,"","","",7,"","","",32,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Roque Pérez","Formación Laboral",13,0,"","","",3,"","","",39,"","","",7,"","","",49,"Buenos Aires","Oficios digitales","Otras",4
"Roque Pérez","Educación",16,8,"","","",10,"","","",4,"","","",3,"","","",25,"Buenos Aires","Complementos de la educación formal","Otros",2
"Roque Pérez","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Trámites Nacionales","PROGRESAR",1
"Roque Pérez","Ciudadanía y DD",25,18,"","","",0,"","","",0,"","","",0,"","","",18,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Roque Pérez","Cultura y Entretenimiento",31,7,"","","",50,"","","",47,"","","",15,"","","",119,"Buenos Aires","Artes","Otros",8
"Ezeiza","Formación Laboral",13,26,"","","",25,"","","",20,"","","",5,"","","",76,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
