nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Trámites",22,0,"","","",8,"","","",125,"","","",53,"","","",186,"Buenos Aires","Trámites Nacionales","Otros",2
"Berisso I","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",5,"","","",85,"","","",15,"","","",105,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",2,"","","",35,"","","",25,"","","",62,"Buenos Aires","Trámites Nacionales","Otros",1
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,5,"","","",9,"","","",12,"","","",2,"","","",28,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",18,"","","",25,"","","",0,"","","",43,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",2,"","","",186,"","","",0,"","","",188,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",20,"","","",36,"","","",40,"","","",96,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Trámites",22,0,"","","",26,"","","",117,"","","",16,"","","",159,"Buenos Aires","Trámites Nacionales","Otros",6
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",23,"","","",0,"","","",23,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",8,"","","",52,"","","",9,"","","",69,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Trámites",22,0,"","","",20,"","","",50,"","","",0,"","","",70,"Buenos Aires","Trámites Nacionales","Otros",1
"Luján","Trámites",22,0,"","","",55,"","","",80,"","","",5,"","","",140,"Buenos Aires","Trámites Nacionales","PROGRESAR",2
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",50,"","","",950,"Buenos Aires","Comunidad","Otros",1
"Luján","Cultura y Entretenimiento",31,52,"","","",0,"","","",0,"","","",0,"","","",52,"Buenos Aires","Artes","Otros",2
"Marcos Paz I (CIC)","Ciudadanía y DD",25,7,"","","",55,"","","",254,"","","",4,"","","",320,"Buenos Aires","Comunidad","Otros",6
"Marcos Paz II (UMI)","Ciudadanía y DD",25,6,"","","",56,"","","",284,"","","",4,"","","",350,"Buenos Aires","Comunidad","Otros",6
"General Alvarado I (Miramar)","Ciudadanía y DD",25,39,"","","",99,"","","",54,"","","",0,"","","",192,"Buenos Aires","Comunidad","Otros",3
"Pigüé","Alfabetización Digital",10,11,"","","",58,"","","",60,"","","",33,"","","",162,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Pigüé","Ciudadanía y DD",25,0,"","","",96,"","","",205,"","","",80,"","","",381,"Buenos Aires","Comunidad","Capacitación a agentes municipales",7
