nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",5,"","","",5,"","","",10,"Buenos Aires","Comunidad","Otros",1
"Berisso I","Trámites",22,0,"","","",30,"","","",75,"","","",15,"","","",120,"Buenos Aires","Trámites Nacionales","Otros",2
"Berisso I","Cultura y Entretenimiento",31,0,"","","",60,"","","",40,"","","",0,"","","",100,"Buenos Aires","Artes","Otros",1
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",8,"","","",32,"","","",10,"","","",50,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",8,"","","",7,"","","",15,"Buenos Aires","Trámites Nacionales","Otros",1
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,6,"","","",3,"","","",4,"","","",3,"","","",16,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",0,"","","",18,"","","",0,"","","",18,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",124,"","","",0,"","","",124,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",294,"","","",22,"","","",316,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",35,"","","",12,"","","",47,"Buenos Aires","Comunidad","Otros",1
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",23,"","","",0,"","","",23,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"La Matanza II (Villa Palito)","Trámites",22,2,"","","",6,"","","",40,"","","",11,"","","",59,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",1,"","","",1,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,15,"","","",63,"","","",306,"","","",3,"","","",387,"Buenos Aires","Comunidad","Otros",10
"Marcos Paz II (UMI)","Ciudadanía y DD",25,0,"","","",1,"","","",1,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",1
"Marcos Paz II (UMI)","Ciudadanía y DD",25,28,"","","",109,"","","",323,"","","",3,"","","",463,"Buenos Aires","Comunidad","Otros",9
"General Alvarado I (Miramar)","Ciudadanía y DD",25,45,"","","",72,"","","",41,"","","",0,"","","",158,"Buenos Aires","Comunidad","Otros",3
"General Alvarado I (Miramar)","Cultura y Entretenimiento",31,450,"","","",150,"","","",0,"","","",0,"","","",600,"Buenos Aires","Artes","Otros",1
"Pigüé","Ciudadanía y DD",25,0,"","","",7,"","","",19,"","","",15,"","","",41,"Buenos Aires","Comunidad","Otros",1
"Pigüé","Ciudadanía y DD",25,0,"","","",138,"","","",180,"","","",63,"","","",381,"Buenos Aires","Comunidad","Capacitación a agentes municipales",5
"Urdampilleta","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",1,"","","",1,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",11,"","","",33,"","","",3,"","","",47,"Buenos Aires","Trámites Nacionales","AFIP",4
"Azul","Trámites",22,0,"","","",30,"","","",60,"","","",30,"","","",120,"Buenos Aires","Trámites Nacionales","Otros",1
"Roque Pérez","Trámites",22,0,"","","",0,"","","",15,"","","",20,"","","",35,"Buenos Aires","Trámites Nacionales","Otros",1
"Roque Pérez","Cultura y Entretenimiento",31,45,"","","",25,"","","",50,"","","",28,"","","",148,"Buenos Aires","Artes","Otros",2
"Ezeiza","Formación Laboral",13,10,"","","",20,"","","",10,"","","",10,"","","",50,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",60,"","","",15,"","","",75,"Buenos Aires","Oficios digitales","Otras",5
"Punta Indio","Formación Laboral",13,0,"","","",10,"","","",0,"","","",0,"","","",10,"Buenos Aires","Oficios digitales","Otras",1
"Punta Indio","Educación",16,0,"","","",77,"","","",0,"","","",0,"","","",77,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Tres Lomas","Trámites",22,0,"","","",0,"","","",70,"","","",100,"","","",170,"Buenos Aires","Trámites Nacionales","ANSES",2
"Tres Lomas","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",1
"Pehuajó","Cultura y Entretenimiento",31,0,"","","",0,"","","",288,"","","",0,"","","",288,"Buenos Aires","Artes","Otros",1
"La Plata III (CIE)","Alfabetización Digital",10,0,"","","",4,"","","",2,"","","",0,"","","",6,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"La Plata III (CIE)","Cultura y Entretenimiento",31,3,"","","",13,"","","",11,"","","",0,"","","",27,"Buenos Aires","Artes","Otros",3
"Esquel","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"Esquel","Educación",16,0,"","","",0,"","","",3,"","","",0,"","","",3,"Chubut","Complementos de la educación formal","Otros",1
"Esquel","Trámites",22,0,"","","",0,"","","",6,"","","",0,"","","",6,"Chubut","Trámites Nacionales","Otros",2
"Esquel","Cultura y Entretenimiento",31,0,"","","",0,"","","",13,"","","",0,"","","",13,"Chubut","Uso Libre","Navegación libre",2
"Los Altares","Educación",16,2,"","","",4,"","","",0,"","","",0,"","","",6,"Chubut","Complementos de la educación formal","Otros",1
"Los Altares","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Trámites Nacionales","Otros",1
"Los Altares","Cultura y Entretenimiento",31,0,"","","",2,"","","",15,"","","",2,"","","",19,"Chubut","Uso Libre","Navegación libre",1
"Rawson (Chubut)","Ciudadanía y DD",25,0,"","","",5,"","","",10,"","","",0,"","","",15,"Chubut","Comunidad","Otros",1
"Rawson (Chubut)","Ciudadanía y DD",25,0,"","","",5,"","","",20,"","","",0,"","","",25,"Chubut","Comunidad","Capacitación a agentes municipales",2
"Río Mayo","Trámites",22,0,"","","",5,"","","",0,"","","",0,"","","",5,"Chubut","Trámites Nacionales","Otros",1
"Río Mayo","Ciudadanía y DD",25,0,"","","",0,"","","",15,"","","",0,"","","",15,"Chubut","Comunidad","Capacitación a agentes municipales",1
"El Hoyo","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"El Hoyo","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Comunidad","Otros",1
"Gaiman","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Comunidad","Otros",1
"Gaiman","Trámites",22,0,"","","",12,"","","",14,"","","",0,"","","",26,"Chubut","Trámites Nacionales","PAMI",1
"Gaiman","Ciudadanía y DD",25,0,"","","",29,"","","",67,"","","",1,"","","",97,"Chubut","Comunidad","Otros",5
"Gaiman","Cultura y Entretenimiento",31,0,"","","",0,"","","",9,"","","",0,"","","",9,"Chubut","Uso Libre","Navegación libre",1
"Castelli (Chaco)","Trámites",22,0,"","","",448,"","","",662,"","","",327,"","","",1437,"Chaco","Trámites Nacionales","Otros",6
"Corzuela","Trámites",22,0,"","","",100,"","","",400,"","","",0,"","","",500,"Chaco","Trámites Nacionales","Otros",1
"Puerto Tirol","Cultura y Entretenimiento",31,100,"","","",150,"","","",180,"","","",25,"","","",455,"Chaco","Uso Libre","Navegación libre",1
"Quitilipi","Trámites",22,0,"","","",92,"","","",600,"","","",432,"","","",1124,"Chaco","Trámites Nacionales","ANSES",6
"Laguna Blanca (Chaco)","Trámites",22,172,"","","",306,"","","",588,"","","",198,"","","",1264,"Chaco","Trámites Municipales","MUNICIPIO",2
"Laguna Blanca (Chaco)","Ciudadanía y DD",25,62,"","","",148,"","","",316,"","","",78,"","","",604,"Chaco","Comunidad","Otros",1
"Laguna Blanca (Chaco)","Cultura y Entretenimiento",31,46,"","","",124,"","","",92,"","","",66,"","","",328,"Chaco","Artes","Otros",1
"Alto Alegre","Trámites",22,10,"","","",30,"","","",40,"","","",10,"","","",90,"Córdoba","Trámites Nacionales","Otros",1
"Colonia Bismarck","Trámites",22,0,"","","",3,"","","",5,"","","",1,"","","",9,"Córdoba","Trámites Nacionales","Otros",1
"Colonia Bismarck","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",1,"","","",5,"Córdoba","Comunidad","Capacitación a agentes municipales",1
"Monte Maíz","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Córdoba","Comunidad","Otros",1
"Monte Maíz","Trámites",22,0,"","","",5,"","","",32,"","","",15,"","","",52,"Córdoba","Trámites Nacionales","Otros",2
"Morrison","Trámites",22,0,"","","",256,"","","",400,"","","",220,"","","",876,"Córdoba","Trámites Nacionales","ANSES",2
"Pueblo Italiano","Trámites",22,0,"","","",0,"","","",24,"","","",0,"","","",24,"Córdoba","Trámites Municipales","MUNICIPIO",1
"Pueblo Italiano","Ciudadanía y DD",25,15,"","","",10,"","","",20,"","","",5,"","","",50,"Córdoba","Comunidad","Otros",1
"Cavanagh","Formación Laboral",13,60,"","","",62,"","","",55,"","","",0,"","","",177,"Córdoba","Oficios digitales","Otras",4
"Cavanagh","Educación",16,0,"","","",5,"","","",35,"","","",0,"","","",40,"Córdoba","Complementos de la educación formal","Otros",1
"Cavanagh","Trámites",22,0,"","","",14,"","","",22,"","","",0,"","","",36,"Córdoba","Trámites Nacionales","ANSES",2
"La Posta","Cultura y Entretenimiento",31,351,"","","",151,"","","",8,"","","",0,"","","",510,"Córdoba","Artes","Otros",2
"Pampayasta Sud","Trámites",22,0,"","","",15,"","","",23,"","","",18,"","","",56,"Córdoba","Trámites Municipales","MUNICIPIO",1
"Idiázabal","Trámites",22,0,"","","",12,"","","",48,"","","",156,"","","",216,"Córdoba","Trámites Nacionales","Otros",1
"Idiázabal","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Córdoba","Artes","Otros",1
"Antofagasta de la Sierra I","Educación",16,63,"","","",19,"","","",0,"","","",0,"","","",82,"Catamarca","Complementos de la educación formal","Apoyo escolar",1
"Huillapima II (Los Ángeles)","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Catamarca","Comunidad","Otros",1
"Tinogasta I","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Catamarca","Complementos de la educación formal","Otros",1
"Tinogasta I","Cultura y Entretenimiento",31,0,"","","",20,"","","",35,"","","",0,"","","",55,"Catamarca","Uso Libre","Navegación libre",1
"La Paz (Entre Ríos)","Trámites",22,0,"","","",6,"","","",15,"","","",0,"","","",21,"Entre Ríos","Trámites Nacionales","ANSES",1
"La Paz (Entre Ríos)","Cultura y Entretenimiento",31,40,"","","",10,"","","",0,"","","",0,"","","",50,"Entre Ríos","Uso Libre","Navegación libre",1
"Nogoyá","Formación Laboral",13,0,"","","",5,"","","",1,"","","",0,"","","",6,"Entre Ríos","Oficios digitales","Otras",1
"Nogoyá","Ciudadanía y DD",25,0,"","","",4,"","","",6,"","","",0,"","","",10,"Entre Ríos","Comunidad","Otros",1
"Ciudad de Formosa I (Casa del Estudiante)","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Formosa","Oficios digitales","Otras",2
"Ciudad de Formosa I (Casa del Estudiante)","Educación",16,0,"","","",37,"","","",832,"","","",0,"","","",869,"Formosa","Complementos de la educación formal","Apoyo escolar",5
"Ciudad de Formosa I (Casa del Estudiante)","Trámites",22,0,"","","",0,"","","",92,"","","",0,"","","",92,"Formosa","Trámites Nacionales","AFIP",3
"Ciudad de Formosa I (Casa del Estudiante)","Cultura y Entretenimiento",31,0,"","","",28,"","","",451,"","","",0,"","","",479,"Formosa","Artes","Otros",2
"Herradura","Educación",16,42,"","","",54,"","","",28,"","","",0,"","","",124,"Formosa","Complementos de la educación formal","Otros",1
