nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",2
"Berisso I","Formación Laboral",13,0,"","","",5,"","","",8,"","","",0,"","","",13,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Trámites Nacionales","Otros",1
"Berisso I","Cultura y Entretenimiento",31,58,"","","",45,"","","",0,"","","",0,"","","",103,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",10,"","","",4,"","","",14,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",13,"","","",8,"","","",21,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",3,"","","",8,"","","",2,"","","",13,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,4,"","","",23,"","","",7,"","","",0,"","","",34,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,3,"","","",19,"","","",234,"","","",40,"","","",296,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,56,"","","",13,"","","",14,"","","",5,"","","",88,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",18,"","","",45,"","","",0,"","","",63,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",27,"","","",179,"","","",58,"","","",264,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",7,"","","",0,"","","",7,"Buenos Aires","Comunidad","Otros",3
"Dolores (CAJ)","Trámites",22,0,"","","",0,"","","",3,"","","",5,"","","",8,"Buenos Aires","Trámites Nacionales","PAMI",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",1,"","","",3,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",2
"General La Madrid","Alfabetización Digital",10,0,"","","",12,"","","",2,"","","",0,"","","",14,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General La Madrid","Cultura y Entretenimiento",31,12,"","","",11,"","","",20,"","","",0,"","","",43,"Buenos Aires","Artes","Otros",3
"General Las Heras","Ciudadanía y DD",25,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Comunidad","Otros",3
"General Las Heras","Alfabetización Digital",10,0,"","","",2,"","","",8,"","","",0,"","","",10,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",24,"","","",37,"","","",0,"","","",61,"Buenos Aires","Complementos de la educación formal","Otros",6
"General Rodríguez","Trámites",22,0,"","","",0,"","","",10,"","","",10,"","","",20,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Cultura y Entretenimiento",31,0,"","","",800,"","","",2000,"","","",200,"","","",3000,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",5,"","","",22,"","","",4,"","","",31,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",5,"","","",26,"","","",5,"","","",36,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",6,"","","",8,"","","",0,"","","",14,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",21,"","","",129,"","","",19,"","","",169,"Buenos Aires","Complementos de la educación formal","Otros",4
