nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Formación Laboral",13,45,"","","",58,"","","",0,"","","",0,"","","",103,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,2,"","","",0,"","","",3,"","","",0,"","","",5,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",20,"","","",2,"","","",22,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,51,"","","",50,"","","",55,"","","",13,"","","",169,"Buenos Aires","Uso Libre","Navegación libre",3
"Dolores (CAJ)","Trámites",22,0,"","","",10,"","","",87,"","","",16,"","","",113,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",1,"","","",2,"","","",0,"","","",3,"Buenos Aires","Artes","Otros",1
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",180,"","","",0,"","","",0,"","","",180,"Buenos Aires","Uso Libre","Navegación libre",1
"Marcos Paz I (CIC)","Alfabetización Digital",10,54,"","","",47,"","","",89,"","","",6,"","","",196,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Marcos Paz I (CIC)","Formación Laboral",13,0,"","","",37,"","","",21,"","","",0,"","","",58,"Buenos Aires","Oficios digitales","Otras",1
"Marcos Paz I (CIC)","Educación",16,35,"","","",0,"","","",0,"","","",0,"","","",35,"Buenos Aires","Complementos de la educación formal","Idiomas",1
"Marcos Paz I (CIC)","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Trámites Nacionales","Otros",1
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,39,"","","",53,"","","",42,"","","",0,"","","",134,"Buenos Aires","Artes","Otros",3
"Marcos Paz II (UMI)","Alfabetización Digital",10,200,"","","",41,"","","",37,"","","",0,"","","",278,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",7
"Marcos Paz II (UMI)","Formación Laboral",13,0,"","","",14,"","","",19,"","","",0,"","","",33,"Buenos Aires","Oficios digitales","Otras",1
"Marcos Paz II (UMI)","Trámites",22,0,"","","",4,"","","",8,"","","",0,"","","",12,"Buenos Aires","Trámites Nacionales","Otros",1
"Marcos Paz II (UMI)","Cultura y Entretenimiento",31,79,"","","",23,"","","",30,"","","",0,"","","",132,"Buenos Aires","Uso Libre","Uso libre del espacio de microcine",2
"General Alvarado I (Miramar)","Formación Laboral",13,0,"","","",0,"","","",79,"","","",0,"","","",79,"Buenos Aires","Oficios digitales","Otras",1
"Pigüé","Formación Laboral",13,278,"","","",170,"","","",97,"","","",57,"","","",602,"Buenos Aires","Oficios digitales","Otras",1
"Urdampilleta","Alfabetización Digital",10,4,"","","",2,"","","",5,"","","",8,"","","",19,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",0,"","","",2,"","","",2,"","","",4,"Buenos Aires","Trámites Nacionales","Otros",2
"Ezeiza","Formación Laboral",13,150,"","","",80,"","","",150,"","","",90,"","","",470,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Alfabetización Digital",10,0,"","","",0,"","","",66,"","","",0,"","","",66,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",140,"","","",0,"","","",140,"Buenos Aires","Oficios digitales","Otras",3
"Balcarce","Educación",16,0,"","","",0,"","","",49,"","","",34,"","","",83,"Buenos Aires","Complementos de la educación formal","Otros",1
"Balcarce","Trámites",22,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Trámites Nacionales","ANSES",1
"Balcarce","Cultura y Entretenimiento",31,65,"","","",71,"","","",0,"","","",0,"","","",136,"Buenos Aires","Uso Libre","Navegación libre",3
"Espacio de Memoria (Ex Esma)","Alfabetización Digital",10,0,"","","",0,"","","",10,"","","",70,"","","",80,"Ciudad Autónoma de Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Esquel","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",0,"","","",8,"Chubut","Alfabetización Digital","Alfabetización Digital Inicial",1
"Esquel","Formación Laboral",13,0,"","","",0,"","","",111,"","","",0,"","","",111,"Chubut","Oficios digitales","Otras",2
"Esquel","Educación",16,0,"","","",0,"","","",8,"","","",0,"","","",8,"Chubut","Complementos de la educación formal","Otros",4
"Esquel","Cultura y Entretenimiento",31,228,"","","",15,"","","",6,"","","",0,"","","",249,"Chubut","Uso Libre","Navegación libre",1
"El Hoyo","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"El Hoyo","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Trámites Nacionales","ANSES",1
"El Hoyo","Ciudadanía y DD",25,0,"","","",6,"","","",2,"","","",0,"","","",8,"Chubut","Comunidad","Otros",1
"El Hoyo","Cultura y Entretenimiento",31,27,"","","",23,"","","",45,"","","",8,"","","",103,"Chubut","Artes","Otros",3
"Gaiman","Trámites",22,0,"","","",5,"","","",13,"","","",9,"","","",27,"Chubut","Trámites Nacionales","Otros",1
"Gaiman","Cultura y Entretenimiento",31,9,"","","",31,"","","",32,"","","",7,"","","",79,"Chubut","Uso Libre","Navegación libre",2
"Puerto Tirol","Alfabetización Digital",10,30,"","","",10,"","","",60,"","","",0,"","","",100,"Chaco","Alfabetización Digital","Alfabetización Digital Inicial",1
"Puerto Tirol","Cultura y Entretenimiento",31,40,"","","",0,"","","",60,"","","",0,"","","",100,"Chaco","Uso Libre","Navegación libre",1
"Quitilipi","Formación Laboral",13,250,"","","",270,"","","",130,"","","",0,"","","",650,"Chaco","Oficios digitales","Otras",2
"Quitilipi","Trámites",22,0,"","","",340,"","","",920,"","","",140,"","","",1400,"Chaco","Trámites Nacionales","ANSES",3
"Quitilipi","Ciudadanía y DD",25,6,"","","",25,"","","",645,"","","",5,"","","",681,"Chaco","Comunidad","Capacitación a agentes municipales",3
"Quitilipi","Cultura y Entretenimiento",31,62,"","","",170,"","","",70,"","","",5,"","","",307,"Chaco","Uso Libre","Uso libre del espacio de microcine",3
"Laguna Blanca (Chaco)","Salud",19,24,"","","",42,"","","",48,"","","",22,"","","",136,"Chaco","Salud","Uso terapéutico del espacio de entretenimiento",1
"Laguna Blanca (Chaco)","Trámites",22,40,"","","",58,"","","",68,"","","",18,"","","",184,"Chaco","Trámites Municipales","MUNICIPIO",1
"Laguna Blanca (Chaco)","Cultura y Entretenimiento",31,20,"","","",84,"","","",42,"","","",22,"","","",168,"Chaco","Uso Libre","Navegación libre",1
"Colonia Bismarck","Formación Laboral",13,0,"","","",21,"","","",30,"","","",1,"","","",52,"Córdoba","Oficios digitales","Otras",1
"Colonia Bismarck","Educación",16,5,"","","",12,"","","",0,"","","",0,"","","",17,"Córdoba","Complementos de la educación formal","Apoyo escolar",1
"Colonia Bismarck","Trámites",22,0,"","","",22,"","","",35,"","","",0,"","","",57,"Córdoba","Trámites Nacionales","Otros",1
"Colonia Bismarck","Ciudadanía y DD",25,20,"","","",65,"","","",40,"","","",5,"","","",130,"Córdoba","Comunidad","Otros",1
"Colonia Bismarck","Cultura y Entretenimiento",31,969,"","","",601,"","","",381,"","","",45,"","","",1996,"Córdoba","Artes","Otros",9
"Monte Maíz","Trámites",22,0,"","","",86,"","","",274,"","","",279,"","","",639,"Córdoba","Trámites Nacionales","Otros",1
"Morrison","Trámites",22,0,"","","",280,"","","",190,"","","",240,"","","",710,"Córdoba","Trámites Nacionales","ANSES",1
"Morrison","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",96,"","","",96,"Córdoba","Comunidad","Capacitación a agentes municipales",1
"Morrison","Cultura y Entretenimiento",31,500,"","","",200,"","","",0,"","","",0,"","","",700,"Córdoba","Uso Libre","Uso libre del espacio de microcine",1
"Pueblo Italiano","Formación Laboral",13,0,"","","",1,"","","",10,"","","",0,"","","",11,"Córdoba","Oficios digitales","Otras",1
"Villa Ascasubi","Formación Laboral",13,60,"","","",49,"","","",4,"","","",0,"","","",113,"Córdoba","Oficios digitales","Otras",2
"Villa Ascasubi","Trámites",22,0,"","","",40,"","","",55,"","","",60,"","","",155,"Córdoba","Trámites Nacionales","ANSES",1
"Villa Ascasubi","Cultura y Entretenimiento",31,65,"","","",15,"","","",25,"","","",30,"","","",135,"Córdoba","Uso Libre","Navegación libre",1
"Villa del Totoral","Trámites",22,0,"","","",42,"","","",70,"","","",8,"","","",120,"Córdoba","Trámites Nacionales","ANSES",1
"San Marcos Sierra","Cultura y Entretenimiento",31,5,"","","",20,"","","",30,"","","",5,"","","",60,"Córdoba","Uso Libre","Navegación libre",1
"Ciudad de Córdoba I (Campo de la Ribera)","Trámites",22,0,"","","",0,"","","",260,"","","",130,"","","",390,"Córdoba","Trámites Nacionales","Otros",1
"Idiázabal","Trámites",22,0,"","","",52,"","","",85,"","","",68,"","","",205,"Córdoba","Trámites Nacionales","Otros",1
"Idiázabal","Cultura y Entretenimiento",31,691,"","","",881,"","","",608,"","","",427,"","","",2607,"Córdoba","Artes","Otros",6
"San Antonio de Arredondo","Trámites",22,11,"","","",269,"","","",579,"","","",138,"","","",997,"Córdoba","Trámites Municipales","MUNICIPIO",2
"San Antonio de Arredondo","Cultura y Entretenimiento",31,148,"","","",312,"","","",114,"","","",59,"","","",633,"Córdoba","Uso Libre","Navegación libre",1
"Corrientes Capital I (CIC 1)","Formación Laboral",13,0,"","","",25,"","","",5,"","","",0,"","","",30,"Corrientes","Oficios digitales","Otras",1
"Corrientes Capital I (CIC 1)","Educación",16,30,"","","",12,"","","",0,"","","",0,"","","",42,"Corrientes","Complementos de la educación formal","Otros",1
"Corrientes Capital I (CIC 1)","Salud",19,40,"","","",35,"","","",60,"","","",48,"","","",183,"Corrientes","Salud","Uso terapéutico del espacio de entretenimiento",1
"Corrientes Capital I (CIC 1)","Trámites",22,0,"","","",45,"","","",88,"","","",133,"","","",266,"Corrientes","Trámites Nacionales","ANSES",2
"Corrientes Capital I (CIC 1)","Cultura y Entretenimiento",31,95,"","","",45,"","","",90,"","","",78,"","","",308,"Corrientes","Artes","Otros",3
"Saladas","Alfabetización Digital",10,110,"","","",55,"","","",33,"","","",0,"","","",198,"Corrientes","Alfabetización Digital","Alfabetización Digital Inicial",1
"Saladas","Formación Laboral",13,55,"","","",99,"","","",33,"","","",0,"","","",187,"Corrientes","Oficios digitales","Otras",1
"Saladas","Educación",16,33,"","","",22,"","","",0,"","","",0,"","","",55,"Corrientes","Complementos de la educación formal","Apoyo escolar",1
"Saladas","Trámites",22,0,"","","",165,"","","",220,"","","",55,"","","",440,"Corrientes","Trámites Nacionales","Otros",1
"Saladas","Cultura y Entretenimiento",31,77,"","","",99,"","","",44,"","","",0,"","","",220,"Corrientes","Uso Libre","Navegación libre",2
