nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Alfabetización Digital",10,0,0,0,0,0,0,0,0,20,18,2,0,0,0,0,0,20,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,0,0,0,9,4,5,0,45,20,25,0,0,0,0,0,54,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Berisso I","Trámites",22,0,0,0,0,0,0,0,0,76,35,41,0,0,0,0,0,76,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Ciudadanía y DD",25,5,3,2,0,20,11,9,0,68,30,38,0,0,0,0,0,93,"Buenos Aires","Comunidad","Otros",3
"Berisso I","Cultura y Entretenimiento",31,44,25,19,0,78,33,45,0,16,12,4,0,2,2,0,0,140,"Buenos Aires","Artes","Música",6
"Cañuelas","Alfabetización Digital",10,0,0,0,0,0,0,0,0,105,81,24,0,0,0,0,0,105,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Cañuelas","Formación Laboral",13,0,0,0,0,11,7,4,0,191,52,139,0,0,0,0,0,202,"Buenos Aires","Oficios manuales","Otras",4
"Cañuelas","Educación",16,0,0,0,0,0,0,0,0,174,79,95,0,0,0,0,0,174,"Buenos Aires","Complementos de la educación formal","FINES",8
"Cañuelas","Trámites",22,0,0,0,0,119,50,69,0,208,110,98,0,133,53,80,0,460,"Buenos Aires","Trámites Municipales","MUNICIPIO",5
"Cañuelas","Cultura y Entretenimiento",31,63,11,52,0,235,58,177,0,39,7,31,1,2,0,2,0,339,"Buenos Aires","Uso Libre","Uso libre de la consola de videojuegos",2
"Carmen de Patagones","Trámites",22,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,4,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,0,0,0,0,0,0,0,9,6,3,0,8,4,3,1,17,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
