nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Comunidad","Otros",2
"Berisso I","Formación Laboral",13,0,"","","",15,"","","",20,"","","",0,"","","",35,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",60,"","","",115,"","","",0,"","","",175,"Buenos Aires","Trámites Nacionales","Otros",3
"Berisso I","Cultura y Entretenimiento",31,0,"","","",10,"","","",150,"","","",150,"","","",310,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",6,"","","",5,"","","",11,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",7,"","","",11,"","","",18,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",20,"","","",132,"","","",50,"","","",202,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",5,"","","",2,"","","",7,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,1,"","","",5,"","","",4,"","","",0,"","","",10,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",4,"","","",217,"","","",175,"","","",396,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,8,"","","",27,"","","",6,"","","",2,"","","",43,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",0,"","","",18,"","","",0,"","","",18,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",4,"","","",26,"","","",0,"","","",30,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",21,"","","",105,"","","",64,"","","",190,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",2
"General La Madrid","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Comunidad","Otros",1
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",2,"","","",7,"","","",0,"","","",9,"Buenos Aires","Artes","Otros",1
"General Las Heras","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",3
"General Las Heras","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Complementos de la educación formal","Otros",4
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"General Rodríguez","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Trámites Nacionales","Otros",2
"General Rodríguez","Cultura y Entretenimiento",31,0,"","","",0,"","","",400,"","","",150,"","","",550,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",2,"","","",35,"","","",2,"","","",39,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",4,"","","",32,"","","",0,"","","",36,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",0,"","","",30,"","","",0,"","","",30,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",0,"","","",76,"","","",0,"","","",76,"Buenos Aires","Complementos de la educación formal","Otros",2
"Lanús I (Pupi)","Trámites",22,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Trámites Nacionales","Otros",2
"Luján","Alfabetización Digital",10,40,"","","",15,"","","",15,"","","",0,"","","",70,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Luján","Formación Laboral",13,0,"","","",25,"","","",15,"","","",0,"","","",40,"Buenos Aires","Oficios digitales","Otras",1
"Luján","Educación",16,45,"","","",40,"","","",0,"","","",0,"","","",85,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Luján","Trámites",22,0,"","","",60,"","","",110,"","","",10,"","","",180,"Buenos Aires","Trámites Nacionales","PROGRESAR",3
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",50,"","","",950,"Buenos Aires","Comunidad","Otros",1
