nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Formación Laboral",13,0,"","","",8,"","","",12,"","","",0,"","","",20,"Buenos Aires","Oficios digitales","Ventas por Internet",2
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",1
"Berisso I","Alfabetización Digital",10,0,"","","",8,"","","",19,"","","",0,"","","",27,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Berisso I","Salud",19,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",8,"","","",35,"","","",0,"","","",43,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",7,"","","",0,"","","",0,"","","",7,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Capacitaciones PPD",34,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Contenidos","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",10,"","","",93,"","","",41,"","","",144,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",23,"","","",188,"","","",0,"","","",211,"Buenos Aires","Inserción al mundo laboral","Armado de CV",5
"Cañuelas","Educación",16,0,"","","",0,"","","",9,"","","",0,"","","",9,"Buenos Aires","Complementos de la educación formal","Otros",1
"Cañuelas","Salud",19,0,"","","",0,"","","",19,"","","",43,"","","",62,"Buenos Aires","Salud","Primeros Auxilios",1
"Cañuelas","Trámites",22,0,"","","",74,"","","",143,"","","",42,"","","",259,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Ciudadanía y DD",25,0,"","","",19,"","","",0,"","","",0,"","","",19,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Cultura y Entretenimiento",31,54,"","","",154,"","","",23,"","","",0,"","","",231,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Educación",16,0,"","","",20,"","","",38,"","","",10,"","","",68,"Buenos Aires","Complementos de la educación formal","Otros",2
"Carmen de Patagones","Cultura y Entretenimiento",31,5,"","","",15,"","","",18,"","","",5,"","","",43,"Buenos Aires","Artes","Otros",2
"Coronel Suárez I (Colonia Santa María)","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunicación","",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",15,"","","",28,"","","",43,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",7
"Coronel Suárez I (Colonia Santa María)","Educación",16,2,"","","",0,"","","",0,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",5,"","","",102,"","","",72,"","","",179,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,25,"","","",24,"","","",35,"","","",5,"","","",89,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",37,"","","",25,"","","",0,"","","",62,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,"","","",13,"","","",42,"","","",3,"","","",58,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",4,"","","",4,"Buenos Aires","Comunidad","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",123,"","","",85,"","","",208,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Formación Laboral",13,0,"","","",4,"","","",22,"","","",13,"","","",39,"Buenos Aires","Oficios digitales","Ventas por Internet",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",1,"","","",3,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",1
"Dolores (CAJ)","Capacitaciones PPD",34,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Comunicación","",2
"Dolores (CAJ)","Formación Laboral",13,0,"","","",2,"","","",4,"","","",0,"","","",6,"Buenos Aires","Oficios digitales","Programación",1
"Dolores (CAJ)","Trámites",22,0,"","","",5,"","","",5,"","","",4,"","","",14,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Dolores (CAJ)","Cultura y Entretenimiento",31,2,"","","",12,"","","",21,"","","",4,"","","",39,"Buenos Aires","Uso Libre","Navegación libre",1
"General La Madrid","Formación Laboral",13,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Oficios digitales","Ventas por Internet",2
"General La Madrid","Alfabetización Digital",10,0,"","","",0,"","","",17,"","","",0,"","","",17,"Buenos Aires","Tecnologías de la vida cotidiana","Home banking",2
"General La Madrid","Salud",19,0,"","","",0,"","","",21,"","","",0,"","","",21,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",2
"General La Madrid","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",64,"","","",95,"","","",0,"","","",159,"Buenos Aires","Comunidad","Evento / Reunión",10
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",32,"","","",0,"","","",0,"","","",32,"Buenos Aires","Actividad","Proyección de película (con debate)",1
"General Las Heras","Formación Laboral",13,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Oficios digitales","Ventas por Internet",1
"General Las Heras","Alfabetización Digital",10,0,"","","",90,"","","",0,"","","",0,"","","",90,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"General Las Heras","Educación",16,12,"","","",70,"","","",203,"","","",0,"","","",285,"Buenos Aires","Complementos de la educación formal","FINES",2
"General Las Heras","Salud",19,0,"","","",46,"","","",0,"","","",1,"","","",47,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"General Las Heras","Trámites",22,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"General Las Heras","Cultura y Entretenimiento",31,75,"","","",0,"","","",0,"","","",0,"","","",75,"Buenos Aires","Artes","Teatro",1
"General Rodríguez","Alfabetización Digital",10,0,"","","",20,"","","",30,"","","",10,"","","",60,"Buenos Aires","Tecnologías de la vida cotidiana","Escritorio PC",1
"General Rodríguez","Formación Laboral",13,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Inserción al mundo laboral","Armado de CV",1
"General Rodríguez","Trámites",22,0,"","","",10,"","","",155,"","","",110,"","","",275,"Buenos Aires","Trámites Nacionales","Validación de identidad",7
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",3,"","","",10,"","","",1,"","","",14,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Contenidos","",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",7,"","","",100,"","","",32,"","","",139,"Buenos Aires","Alfabetización Digital","Paquete de Office o LibreOffice",2
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",0,"","","",38,"","","",0,"","","",38,"Buenos Aires","Oficios digitales","Marketing Digital",2
"Lanús I (Pupi)","Educación",16,0,"","","",4,"","","",143,"","","",42,"","","",189,"Buenos Aires","Complementos de la educación formal","Idiomas",3
"Lanús I (Pupi)","Trámites",22,0,"","","",0,"","","",26,"","","",10,"","","",36,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Ciudadanía y DD",25,0,"","","",50,"","","",130,"","","",0,"","","",180,"Buenos Aires","Comunidad","Otros",1
"Lanús I (Pupi)","Cultura y Entretenimiento",31,20,"","","",110,"","","",15,"","","",0,"","","",145,"Buenos Aires","Uso Libre","Navegación libre",1
"Laprida","Alfabetización Digital",10,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Alfabetización Digital","Paquete de Office o LibreOffice",1
"Laprida","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Laprida","Ciudadanía y DD",25,0,"","","",0,"","","",22,"","","",0,"","","",22,"Buenos Aires","Comunidad","Evento / Reunión",1
"Laprida","Generos y Diversidades",28,0,"","","",0,"","","",40,"","","",0,"","","",40,"Buenos Aires","Perspectiva de género","",1
"Laprida","Cultura y Entretenimiento",31,63,"","","",53,"","","",219,"","","",23,"","","",358,"Buenos Aires","Artes","Circo",10
"Luján","Formación Laboral",13,0,"","","",8,"","","",47,"","","",20,"","","",75,"Buenos Aires","Oficios digitales","Otras",3
"Luján","Educación",16,52,"","","",51,"","","",25,"","","",0,"","","",128,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",4
"Luján","Trámites",22,0,"","","",150,"","","",650,"","","",0,"","","",800,"Buenos Aires","Trámites Municipales","MUNICIPIO",1
