nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Formación Laboral",13,0,"","","",12,"","","",25,"","","",0,"","","",37,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",12,"","","",8,"","","",0,"","","",20,"Buenos Aires","Trámites Nacionales","Otros",1
"Berisso I","Cultura y Entretenimiento",31,25,"","","",45,"","","",10,"","","",0,"","","",80,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",2,"","","",7,"","","",6,"","","",15,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",2,"","","",38,"","","",19,"","","",59,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",6,"","","",8,"","","",14,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",6,"","","",15,"","","",21,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Coronel Suárez I (Colonia Santa María)","Trámites",22,2,"","","",1,"","","",174,"","","",80,"","","",257,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,19,"","","",18,"","","",8,"","","",7,"","","",52,"Buenos Aires","Uso Libre","Navegación libre",1
"Dolores (CAJ)","Formación Laboral",13,0,"","","",2,"","","",4,"","","",0,"","","",6,"Buenos Aires","Oficios manuales","Otras",2
"General La Madrid","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios manuales","Otras",1
"General La Madrid","Cultura y Entretenimiento",31,27,"","","",6,"","","",12,"","","",0,"","","",45,"Buenos Aires","Artes","Otros",2
"General Las Heras","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",2,"","","",10,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",25,"","","",36,"","","",0,"","","",61,"Buenos Aires","Complementos de la educación formal","Otros",6
"General Rodríguez","Trámites",22,0,"","","",0,"","","",50,"","","",15,"","","",65,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Cultura y Entretenimiento",31,1000,"","","",7000,"","","",5000,"","","",900,"","","",13900,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",1,"","","",35,"","","",28,"","","",64,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",0,"","","",18,"","","",30,"","","",48,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",0,"","","",63,"","","",8,"","","",71,"Buenos Aires","Complementos de la educación formal","Otros",3
"Lanús I (Pupi)","Trámites",22,0,"","","",16,"","","",58,"","","",25,"","","",99,"Buenos Aires","Trámites Nacionales","Otros",2
"Laprida","Generos y Diversidades",28,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Perspectiva de género","",1
"Laprida","Cultura y Entretenimiento",31,0,"","","",0,"","","",15,"","","",0,"","","",15,"Buenos Aires","Artes","Otros",1
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Complementos de la educación formal","Terminá la Secundaria",1
"Mar del Plata I (Polideportivo Las Heras)","Salud",19,25,"","","",0,"","","",15,"","","",15,"","","",55,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Mar del Plata I (Polideportivo Las Heras)","Trámites",22,0,"","","",0,"","","",296,"","","",0,"","","",296,"Buenos Aires","Trámites Nacionales","Validación de identidad",3
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,128,"","","",0,"","","",0,"","","",0,"","","",128,"Buenos Aires","Artes","Música",2
"Marcos Paz I (CIC)","Formación Laboral",13,0,"","","",4,"","","",4,"","","",0,"","","",8,"Buenos Aires","Oficios manuales","Otras",2
"Marcos Paz I (CIC)","Alfabetización Digital",10,19,"","","",33,"","","",50,"","","",0,"","","",102,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",7
"Marcos Paz I (CIC)","Formación Laboral",13,0,"","","",16,"","","",53,"","","",0,"","","",69,"Buenos Aires","Oficios manuales","Tejido, bordado, otros",7
"Marcos Paz I (CIC)","Trámites",22,0,"","","",3,"","","",30,"","","",2,"","","",35,"Buenos Aires","Trámites Nacionales","Otros",1
"Marcos Paz II (UMI)","Formación Laboral",13,0,"","","",4,"","","",4,"","","",0,"","","",8,"Buenos Aires","Oficios manuales","Otras",2
"Marcos Paz II (UMI)","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",6
"Marcos Paz II (UMI)","Formación Laboral",13,0,"","","",1,"","","",6,"","","",0,"","","",7,"Buenos Aires","Oficios digitales","Otras",3
"General Alvarado I (Miramar)","Ciudadanía y DD",25,23,"","","",15,"","","",20,"","","",15,"","","",73,"Buenos Aires","Comunidad","Otros",3
"Pigüé","Ciudadanía y DD",25,0,"","","",53,"","","",56,"","","",10,"","","",119,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"Urdampilleta","Alfabetización Digital",10,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",0,"","","",19,"","","",3,"","","",22,"Buenos Aires","Trámites Nacionales","AFIP",8
"Urdampilleta","Cultura y Entretenimiento",31,0,"","","",0,"","","",6,"","","",2,"","","",8,"Buenos Aires","Uso Libre","Navegación libre",1
"Villa Gesell","Educación",16,95,"","","",72,"","","",0,"","","",0,"","","",167,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Villa Gesell","Trámites",22,53,"","","",50,"","","",85,"","","",40,"","","",228,"Buenos Aires","Trámites Nacionales","ANSES",1
"Villa Gesell","Ciudadanía y DD",25,165,"","","",200,"","","",90,"","","",20,"","","",475,"Buenos Aires","Comunidad","Otros",1
"Villa Gesell","Cultura y Entretenimiento",31,235,"","","",147,"","","",42,"","","",2,"","","",426,"Buenos Aires","Artes","Otros",4
"Azul","Trámites",22,0,"","","",25,"","","",43,"","","",18,"","","",86,"Buenos Aires","Trámites Nacionales","Otros",1
"Lobería I","Educación",16,0,"","","",25,"","","",351,"","","",0,"","","",376,"Buenos Aires","Complementos de la educación formal","Otros",2
"Lobería I","Salud",19,0,"","","",65,"","","",80,"","","",95,"","","",240,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Lobería I","Ciudadanía y DD",25,0,"","","",140,"","","",310,"","","",30,"","","",480,"Buenos Aires","Comunidad","Otros",2
"Lobería I","Cultura y Entretenimiento",31,15,"","","",30,"","","",15,"","","",0,"","","",60,"Buenos Aires","Artes","Otros",1
"San Fernando","Formación Laboral",13,0,"","","",0,"","","",80,"","","",0,"","","",80,"Buenos Aires","Oficios digitales","Otras",1
"San Fernando","Educación",16,0,"","","",280,"","","",40,"","","",0,"","","",320,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Morón II (Castelar)","Alfabetización Digital",10,0,"","","",0,"","","",6,"","","",10,"","","",16,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Morón II (Castelar)","Formación Laboral",13,0,"","","",6,"","","",12,"","","",0,"","","",18,"Buenos Aires","Oficios digitales","Otras",1
"Morón II (Castelar)","Trámites",22,62,"","","",147,"","","",226,"","","",302,"","","",737,"Buenos Aires","Trámites Nacionales","AFIP",4
"Morón II (Castelar)","Cultura y Entretenimiento",31,0,"","","",9,"","","",19,"","","",3,"","","",31,"Buenos Aires","Artes","Otros",1
"Roque Pérez","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Otras",1
"Roque Pérez","Cultura y Entretenimiento",31,0,"","","",0,"","","",7,"","","",2,"","","",9,"Buenos Aires","Artes","Otros",2
"Las Flores I","Educación",16,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Las Flores I","Cultura y Entretenimiento",31,0,"","","",3,"","","",1,"","","",0,"","","",4,"Buenos Aires","Artes","Otros",1
"Ezeiza","Alfabetización Digital",10,15,"","","",15,"","","",17,"","","",5,"","","",52,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Ezeiza","Formación Laboral",13,25,"","","",25,"","","",12,"","","",5,"","","",67,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Oficios manuales","Agricultura Orgánica",1
"Mar del Plata II (Inareps)","Trámites",22,0,"","","",0,"","","",75,"","","",0,"","","",75,"Buenos Aires","Trámites Nacionales","Otros",5
"Mar del Plata II (Inareps)","Ciudadanía y DD",25,0,"","","",0,"","","",15,"","","",0,"","","",15,"Buenos Aires","Comunidad","Otros",1
"Punta Indio","Alfabetización Digital",10,20,"","","",0,"","","",0,"","","",0,"","","",20,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Punta Indio","Educación",16,0,"","","",57,"","","",0,"","","",0,"","","",57,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Morón III (Palomar)","Trámites",22,0,"","","",3,"","","",15,"","","",7,"","","",25,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Balcarce","Alfabetización Digital",10,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Balcarce","Educación",16,0,"","","",0,"","","",0,"","","",16,"","","",16,"Buenos Aires","Complementos de la educación formal","Otros",1
"Balcarce","Trámites",22,0,"","","",0,"","","",0,"","","",12,"","","",12,"Buenos Aires","Trámites Nacionales","Otros",1
"Balcarce","Ciudadanía y DD",25,0,"","","",12,"","","",45,"","","",34,"","","",91,"Buenos Aires","Comunidad","Otros",5
"Tres Lomas","Alfabetización Digital",10,0,"","","",0,"","","",11,"","","",6,"","","",17,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Tres Lomas","Ciudadanía y DD",25,0,"","","",0,"","","",15,"","","",0,"","","",15,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Pehuajó","Alfabetización Digital",10,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Alfabetización Digital","Uso de correo electrónico",1
"Pehuajó","Educación",16,0,"","","",2,"","","",0,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Pehuajó","Cultura y Entretenimiento",31,0,"","","",0,"","","",220,"","","",0,"","","",220,"Buenos Aires","Artes","Otros",3
"Esquel","Formación Laboral",13,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Oficios manuales","Otras",2
"Esquel","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Alfabetización Digital","Alfabetización Digital Inicial",2
"Esquel","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"Esquel","Educación",16,0,"","","",0,"","","",1,"","","",0,"","","",1,"Chubut","Complementos de la educación formal","Otros",3
"Esquel","Trámites",22,0,"","","",0,"","","",9,"","","",0,"","","",9,"Chubut","Trámites Nacionales","Otros",2
"Esquel","Cultura y Entretenimiento",31,0,"","","",5,"","","",8,"","","",0,"","","",13,"Chubut","Artes","Otros",2
"Los Altares","Formación Laboral",13,0,"","","",1,"","","",3,"","","",0,"","","",4,"Chubut","Oficios digitales","Otras",2
"Los Altares","Educación",16,1,"","","",0,"","","",0,"","","",0,"","","",1,"Chubut","Complementos de la educación formal","Otros",1
"Los Altares","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Trámites Nacionales","Otros",1
"Los Altares","Cultura y Entretenimiento",31,2,"","","",0,"","","",8,"","","",0,"","","",10,"Chubut","Uso Libre","Navegación libre",1
"Rawson (Chubut)","Formación Laboral",13,0,"","","",0,"","","",5,"","","",0,"","","",5,"Chubut","Oficios manuales","Otras",1
"Rawson (Chubut)","Cultura y Entretenimiento",31,10,"","","",10,"","","",2,"","","",0,"","","",22,"Chubut","Artes","Otros",2
"Río Mayo","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Chubut","Soporte","",1
"Río Mayo","Educación",16,0,"","","",0,"","","",3,"","","",0,"","","",3,"Chubut","Complementos de la educación formal","Otros",1
"Río Mayo","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Chubut","Trámites Nacionales","Otros",1
"Río Mayo","Cultura y Entretenimiento",31,0,"","","",5,"","","",10,"","","",0,"","","",15,"Chubut","Artes","Otros",1
"El Hoyo","Alfabetización Digital",10,0,"","","",0,"","","",5,"","","",0,"","","",5,"Chubut","Alfabetización Digital","Alfabetización Digital Inicial",2
"El Hoyo","Ciudadanía y DD",25,0,"","","",2,"","","",15,"","","",1,"","","",18,"Chubut","Comunidad","Otros",4
"Trevelin","Formación Laboral",13,59,"","","",223,"","","",165,"","","",24,"","","",471,"Chubut","Oficios digitales","Otras",3
"Trevelin","Cultura y Entretenimiento",31,27,"","","",142,"","","",65,"","","",33,"","","",267,"Chubut","Uso Libre","Navegación libre",1
"Gaiman","Formación Laboral",13,0,"","","",1,"","","",1,"","","",0,"","","",2,"Chubut","Oficios manuales","Otras",1
"Gaiman","Formación Laboral",13,0,"","","",5,"","","",1,"","","",0,"","","",6,"Chubut","Oficios digitales","Otras",1
"Gaiman","Educación",16,0,"","","",1,"","","",1,"","","",0,"","","",2,"Chubut","Complementos de la educación formal","Apoyo escolar",3
"Gaiman","Trámites",22,0,"","","",4,"","","",6,"","","",7,"","","",17,"Chubut","Trámites Nacionales","PAMI",2
"Gaiman","Ciudadanía y DD",25,0,"","","",9,"","","",23,"","","",0,"","","",32,"Chubut","Comunidad","Otros",4
"Gaiman","Cultura y Entretenimiento",31,0,"","","",1,"","","",1,"","","",1,"","","",3,"Chubut","Uso Libre","Navegación libre",1
