nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",10,"","","",45,"","","",0,"","","",55,"Buenos Aires","Comunidad","Otros",7
"Berisso I","Formación Laboral",13,0,"","","",40,"","","",60,"","","",0,"","","",100,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",4,"","","",25,"","","",0,"","","",29,"Buenos Aires","Trámites Nacionales","AFIP",3
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",12,"","","",120,"","","",30,"","","",162,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",14,"","","",0,"","","",14,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,5,"","","",4,"","","",0,"","","",0,"","","",9,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",38,"","","",3,"","","",41,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",7,"","","",17,"","","",0,"","","",24,"Buenos Aires","Artes","Otros",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",3,"","","",25,"","","",0,"","","",28,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",49,"","","",24,"","","",73,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",15,"","","",29,"","","",1,"","","",45,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",1
