nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,"","","",13,"","","",0,"","","",0,"","","",13,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",20,"","","",35,"","","",0,"","","",55,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",5,"","","",135,"","","",0,"","","",140,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",15,"","","",196,"","","",0,"","","",211,"Buenos Aires","Inserción al mundo laboral","Armado de CV",5
"Cañuelas","Educación",16,0,"","","",27,"","","",147,"","","",0,"","","",174,"Buenos Aires","Complementos de la educación formal","FINES",8
"Cañuelas","Trámites",22,0,"","","",36,"","","",234,"","","",75,"","","",345,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Cultura y Entretenimiento",31,49,"","","",417,"","","",80,"","","",0,"","","",546,"Buenos Aires","Uso Libre","Navegación libre",3
"Carmen de Patagones","Educación",16,0,"","","",100,"","","",300,"","","",200,"","","",600,"Buenos Aires","Complementos de la educación formal","Otros",2
"Carmen de Patagones","Cultura y Entretenimiento",31,32,"","","",0,"","","",200,"","","",100,"","","",332,"Buenos Aires","Artes","Otros",2
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",6,"","","",28,"","","",34,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",8
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",118,"","","",38,"","","",156,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,19,"","","",9,"","","",74,"","","",43,"","","",145,"Buenos Aires","Uso Libre","Navegación libre",3
"Coronel Suarez II (CTC)","Alfabetización Digital",10,0,"","","",0,"","","",36,"","","",192,"","","",228,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Coronel Suarez II (CTC)","Formación Laboral",13,0,"","","",72,"","","",0,"","","",0,"","","",72,"Buenos Aires","Oficios digitales","Programación",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",4,"","","",18,"","","",0,"","","",22,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Comunidad","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",9,"","","",103,"","","",51,"","","",163,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Educación",16,0,"","","",0,"","","",2,"","","",1,"","","",3,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",1
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",1,"","","",1,"","","",0,"","","",2,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",1
"Dolores (CAJ)","Capacitaciones PPD",34,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Vinculación","",1
