nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Formación Laboral",13,45,"","","",80,"","","",8,"","","",0,"","","",133,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",1,"","","",11,"","","",1,"","","",13,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",73,"","","",22,"","","",95,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,73,"","","",73,"","","",46,"","","",13,"","","",205,"Buenos Aires","Artes","Otros",3
"Dolores (CAJ)","Trámites",22,0,"","","",1,"","","",9,"","","",5,"","","",15,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"General Las Heras","Educación",16,0,"","","",14,"","","",0,"","","",0,"","","",14,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Mar del Plata I (Polideportivo Las Heras)","Alfabetización Digital",10,0,"","","",0,"","","",12,"","","",25,"","","",37,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Mar del Plata I (Polideportivo Las Heras)","Formación Laboral",13,0,"","","",0,"","","",0,"","","",30,"","","",30,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",10,"","","",0,"","","",120,"","","",130,"Buenos Aires","Complementos de la educación formal","Otros",4
"Mar del Plata I (Polideportivo Las Heras)","Trámites",22,0,"","","",0,"","","",40,"","","",0,"","","",40,"Buenos Aires","Trámites Nacionales","Otros",6
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",340,"","","",0,"","","",0,"","","",340,"Buenos Aires","Uso Libre","Navegación libre",2
"Marcos Paz I (CIC)","Alfabetización Digital",10,78,"","","",16,"","","",0,"","","",0,"","","",94,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Marcos Paz I (CIC)","Formación Laboral",13,3,"","","",54,"","","",18,"","","",0,"","","",75,"Buenos Aires","Oficios digitales","Otras",4
"Marcos Paz I (CIC)","Trámites",22,0,"","","",1,"","","",6,"","","",0,"","","",7,"Buenos Aires","Trámites Nacionales","Otros",1
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",4,"","","",78,"","","",0,"","","",82,"Buenos Aires","Artes","Otros",3
"Marcos Paz II (UMI)","Educación",16,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Complementos de la educación formal","Otros",1
"Marcos Paz II (UMI)","Alfabetización Digital",10,90,"","","",23,"","","",0,"","","",0,"","","",113,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Marcos Paz II (UMI)","Formación Laboral",13,0,"","","",16,"","","",22,"","","",0,"","","",38,"Buenos Aires","Oficios digitales","Otras",3
"Marcos Paz II (UMI)","Educación",16,19,"","","",2,"","","",0,"","","",0,"","","",21,"Buenos Aires","Complementos de la educación formal","Idiomas",1
"Marcos Paz II (UMI)","Trámites",22,0,"","","",3,"","","",5,"","","",0,"","","",8,"Buenos Aires","Trámites Nacionales","Otros",1
"Marcos Paz II (UMI)","Cultura y Entretenimiento",31,9,"","","",26,"","","",0,"","","",0,"","","",35,"Buenos Aires","Uso Libre","Uso libre del espacio de microcine",2
