nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,"","","",35,"","","",40,"","","",20,"","","",95,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",12,"","","",34,"","","",0,"","","",46,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",1,"","","",4,"","","",5,"","","",10,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",2,"","","",129,"","","",30,"","","",161,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",0,"","","",1,"","","",3,"","","",4,"Buenos Aires","Uso Libre","Navegación libre",1
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",0,"","","",36,"","","",0,"","","",36,"Buenos Aires","Artes","Otros",1
"General Rodríguez","Trámites",22,10,"","","",15,"","","",85,"","","",40,"","","",150,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"La Matanza II (Villa Palito)","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Soporte","",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",2,"","","",25,"","","",3,"","","",30,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Laprida","Generos y Diversidades",28,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Perspectiva de género","",1
"Mar del Plata I (Polideportivo Las Heras)","Capacitaciones PPD",34,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Soporte","",2
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Complementos de la educación formal","Terminá la Secundaria",1
"Mar del Plata I (Polideportivo Las Heras)","Salud",19,200,"","","",0,"","","",150,"","","",0,"","","",350,"Buenos Aires","Salud","Gestión y prevención COVID",1
