nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Alfabetización Digital",10,0,"","","",20,"","","",8,"","","",0,"","","",28,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Berisso I","Salud",19,0,"","","",0,"","","",30,"","","",20,"","","",50,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",0,"","","",37,"","","",0,"","","",37,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",5,"","","",0,"","","",0,"","","",5,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",11,"","","",98,"","","",43,"","","",152,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",19,"","","",197,"","","",0,"","","",216,"Buenos Aires","Inserción al mundo laboral","Armado de CV",6
"Cañuelas","Trámites",22,0,"","","",27,"","","",150,"","","",43,"","","",220,"Buenos Aires","Trámites Nacionales","Censo Nacional 2022",5
"Cañuelas","Ciudadanía y DD",25,0,"","","",24,"","","",0,"","","",0,"","","",24,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Cultura y Entretenimiento",31,43,"","","",126,"","","",5,"","","",0,"","","",174,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Educación",16,0,"","","",20,"","","",39,"","","",10,"","","",69,"Buenos Aires","Complementos de la educación formal","Otros",2
"Carmen de Patagones","Cultura y Entretenimiento",31,5,"","","",14,"","","",8,"","","",5,"","","",32,"Buenos Aires","Artes","Otros",2
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",7,"","","",15,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",1,"","","",1,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",2,"","","",211,"","","",18,"","","",231,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Ciudadanía y DD",25,0,"","","",4,"","","",1,"","","",0,"","","",5,"Buenos Aires","Comunidad","Evento / Reunión",1
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,16,"","","",21,"","","",112,"","","",25,"","","",174,"Buenos Aires","Uso Libre","Navegación libre",3
"Coronel Suarez II (CTC)","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunicación","",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",18,"","","",19,"","","",0,"","","",37,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,"","","",16,"","","",24,"","","",8,"","","",48,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",18,"","","",18,"Buenos Aires","Comunidad","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",34,"","","",119,"","","",42,"","","",195,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Formación Laboral",13,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Oficios digitales","Ventas por Internet",2
"Dolores (CAJ)","Formación Laboral",13,0,"","","",2,"","","",4,"","","",0,"","","",6,"Buenos Aires","Oficios digitales","Programación",1
"Dolores (CAJ)","Trámites",22,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Dolores (CAJ)","Cultura y Entretenimiento",31,2,"","","",15,"","","",12,"","","",3,"","","",32,"Buenos Aires","Uso Libre","Navegación libre",1
"General La Madrid","Formación Laboral",13,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Oficios digitales","Ventas por Internet",2
"General La Madrid","Capacitaciones PPD",34,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Comunicación","",3
"General La Madrid","Alfabetización Digital",10,0,"","","",0,"","","",39,"","","",6,"","","",45,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General La Madrid","Salud",19,0,"","","",0,"","","",36,"","","",0,"","","",36,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",2
"General La Madrid","Trámites",22,0,"","","",0,"","","",20,"","","",4,"","","",24,"Buenos Aires","Trámites Nacionales","Censo Nacional 2022",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",35,"","","",11,"","","",0,"","","",46,"Buenos Aires","Comunidad","Evento / Reunión",4
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",41,"","","",9,"","","",0,"","","",50,"Buenos Aires","Artes","Otros",4
"General Las Heras","Alfabetización Digital",10,0,"","","",90,"","","",0,"","","",0,"","","",90,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"General Las Heras","Educación",16,14,"","","",161,"","","",217,"","","",0,"","","",392,"Buenos Aires","Complementos de la educación formal","FINES",3
"General Las Heras","Salud",19,0,"","","",50,"","","",0,"","","",1,"","","",51,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"General Las Heras","Trámites",22,0,"","","",0,"","","",10,"","","",2,"","","",12,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"General Las Heras","Cultura y Entretenimiento",31,73,"","","",0,"","","",0,"","","",0,"","","",73,"Buenos Aires","Artes","Teatro",1
"General Rodríguez","Trámites",22,0,"","","",0,"","","",115,"","","",65,"","","",180,"Buenos Aires","Trámites Nacionales","Validación de identidad",5
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",0,"","","",10,"","","",9,"","","",19,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",3,"","","",26,"","","",3,"","","",32,"Buenos Aires","Alfabetización Digital","Paquete de Office o LibreOffice",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",14,"","","",54,"","","",0,"","","",68,"Buenos Aires","Oficios digitales","Marketing Digital",2
"Lanús I (Pupi)","Educación",16,0,"","","",22,"","","",145,"","","",24,"","","",191,"Buenos Aires","Complementos de la educación formal","Idiomas",3
"Lanús I (Pupi)","Trámites",22,0,"","","",0,"","","",18,"","","",5,"","","",23,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Ciudadanía y DD",25,0,"","","",52,"","","",52,"","","",0,"","","",104,"Buenos Aires","Comunidad","Otros",1
"Lanús I (Pupi)","Cultura y Entretenimiento",31,27,"","","",100,"","","",10,"","","",0,"","","",137,"Buenos Aires","Uso Libre","Navegación libre",2
"Laprida","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Vinculación","",1
