nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",2
"Berisso I","Alfabetización Digital",10,0,"","","",21,"","","",43,"","","",2,"","","",66,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Berisso I","Salud",19,0,"","","",0,"","","",30,"","","",20,"","","",50,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",2,"","","",42,"","","",7,"","","",51,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",25,"","","",15,"","","",0,"","","",40,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",12,"","","",113,"","","",84,"","","",209,"Buenos Aires","Tecnologías de la vida cotidiana","Home banking",5
"Cañuelas","Formación Laboral",13,0,"","","",4,"","","",51,"","","",0,"","","",55,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",5,"","","",54,"","","",16,"","","",75,"Buenos Aires","Trámites Nacionales","Censo Nacional 2022",4
"Cañuelas","Cultura y Entretenimiento",31,11,"","","",57,"","","",6,"","","",0,"","","",74,"Buenos Aires","Uso Libre","Navegación libre",1
"Carmen de Patagones","Capacitaciones PPD",34,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Contenidos","",2
"Carmen de Patagones","Educación",16,0,"","","",42,"","","",52,"","","",8,"","","",102,"Buenos Aires","Complementos de la educación formal","FINES",3
"Carmen de Patagones","Cultura y Entretenimiento",31,5,"","","",20,"","","",16,"","","",1,"","","",42,"Buenos Aires","Artes","Otros",2
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",4,"","","",4,"","","",8,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
