nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,"Buenos Aires","Comunidad","Otros",2
"Berisso I","Salud",19,0,0,0,0,20,8,12,0,41,15,26,0,0,0,0,0,61,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Berisso I","Trámites",22,0,0,0,0,0,0,0,0,9,4,5,0,0,0,0,0,9,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Berisso I","Ciudadanía y DD",25,3,2,1,0,41,16,25,0,48,20,28,0,0,0,0,0,92,"Buenos Aires","Comunidad","Otros",2
"Berisso I","Cultura y Entretenimiento",31,43,27,16,0,66,30,36,0,0,0,0,0,0,0,0,0,109,"Buenos Aires","Artes","Música",5
"Cañuelas","Alfabetización Digital",10,0,0,0,0,49,13,36,0,234,178,56,0,61,52,9,0,344,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Cañuelas","Formación Laboral",13,0,0,0,0,8,3,5,0,173,43,130,0,3,1,2,0,184,"Buenos Aires","Inserción al mundo laboral","Armado de CV",3
"Cañuelas","Educación",16,0,0,0,0,0,0,0,0,226,111,115,0,0,0,0,0,226,"Buenos Aires","Complementos de la educación formal","FINES",8
"Cañuelas","Trámites",22,0,0,0,0,75,45,30,0,227,136,91,0,93,51,42,0,395,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Cultura y Entretenimiento",31,53,5,48,0,292,76,216,0,69,16,53,0,9,7,2,0,423,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Formación Laboral",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buenos Aires","Oficios manuales","Peluquería",1
"Carmen de Patagones","Educación",16,0,0,0,0,4,2,2,0,13,9,4,0,0,0,0,0,17,"Buenos Aires","Complementos de la educación formal","FINES",1
"Carmen de Patagones","Trámites",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Carmen de Patagones","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,5,0,5,0,12,10,2,0,17,"Buenos Aires","Comunidad","Evento / Reunión",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,0,0,0,0,0,0,0,13,13,0,0,63,42,21,0,76,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",6
