nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",20,"","","",16,"","","",36,"Buenos Aires","Comunidad","Otros",4
"Berisso I","Trámites",22,0,"","","",15,"","","",97,"","","",5,"","","",117,"Buenos Aires","Trámites Nacionales","AFIP",3
"Cañuelas","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Trámites",22,0,"","","",1,"","","",25,"","","",5,"","","",31,"Buenos Aires","Trámites Nacionales","Otros",2
"Cañuelas","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",7,"","","",35,"","","",12,"","","",54,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",14,"","","",0,"","","",14,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,2,"","","",0,"","","",0,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",44,"","","",0,"","","",44,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,19,"","","",0,"","","",0,"","","",0,"","","",19,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",0,"","","",42,"","","",0,"","","",42,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",2,"","","",18,"","","",0,"","","",20,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",19,"","","",48,"","","",2,"","","",69,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Trámites",22,0,"","","",8,"","","",180,"","","",10,"","","",198,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"Luján","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",2,"","","",4,"Buenos Aires","Comunidad","Otros",1
"Luján","Cultura y Entretenimiento",31,76,"","","",112,"","","",158,"","","",4,"","","",350,"Buenos Aires","Artes","Otros",7
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",4,"","","",4,"","","",0,"","","",8,"Buenos Aires","Comunidad","Otros",4
"Marcos Paz I (CIC)","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,4,"","","",68,"","","",27,"","","",2,"","","",101,"Buenos Aires","Comunidad","Otros",4
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
"Marcos Paz II (UMI)","Ciudadanía y DD",25,0,"","","",4,"","","",4,"","","",0,"","","",8,"Buenos Aires","Comunidad","Otros",4
"Marcos Paz II (UMI)","Ciudadanía y DD",25,1,"","","",43,"","","",18,"","","",1,"","","",63,"Buenos Aires","Comunidad","Otros",3
"General Alvarado I (Miramar)","Ciudadanía y DD",25,273,"","","",87,"","","",103,"","","",31,"","","",494,"Buenos Aires","Comunidad","Otros",4
"Pigüé","Ciudadanía y DD",25,5,"","","",33,"","","",77,"","","",52,"","","",167,"Buenos Aires","Comunidad","Otros",2
"Urdampilleta","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",1,"","","",1,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",0,"","","",58,"","","",13,"","","",71,"Buenos Aires","Trámites Nacionales","Otros",8
"Villa Gesell","Trámites",22,0,"","","",110,"","","",410,"","","",39,"","","",559,"Buenos Aires","Trámites Nacionales","ANSES",1
"Villa Gesell","Ciudadanía y DD",25,35,"","","",81,"","","",42,"","","",13,"","","",171,"Buenos Aires","Comunidad","Otros",1
"Villa Gesell","Cultura y Entretenimiento",31,530,"","","",402,"","","",476,"","","",66,"","","",1474,"Buenos Aires","Artes","Otros",2
"Azul","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",6,"","","",8,"Buenos Aires","Comunidad","Otros",1
"Azul","Trámites",22,0,"","","",60,"","","",120,"","","",60,"","","",240,"Buenos Aires","Trámites Nacionales","Otros",2
"Morón II (Castelar)","Trámites",22,12,"","","",23,"","","",28,"","","",35,"","","",98,"Buenos Aires","Trámites Nacionales","Otros",1
"Roque Pérez","Educación",16,55,"","","",89,"","","",52,"","","",0,"","","",196,"Buenos Aires","Complementos de la educación formal","Otros",6
"Roque Pérez","Ciudadanía y DD",25,8,"","","",10,"","","",0,"","","",0,"","","",18,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Roque Pérez","Cultura y Entretenimiento",31,700,"","","",480,"","","",170,"","","",46,"","","",1396,"Buenos Aires","Artes","Otros",6
"Ezeiza","Formación Laboral",13,10,"","","",20,"","","",10,"","","",10,"","","",50,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Ciudadanía y DD",25,0,"","","",4,"","","",40,"","","",4,"","","",48,"Buenos Aires","Comunidad","Otros",4
"Mar del Plata II (Inareps)","Alfabetización Digital",10,0,"","","",4,"","","",215,"","","",17,"","","",236,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",6
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",60,"","","",15,"","","",75,"Buenos Aires","Oficios digitales","Otras",5
"Balcarce","Trámites",22,0,"","","",2,"","","",8,"","","",10,"","","",20,"Buenos Aires","Trámites Nacionales","Otros",5
"Balcarce","Ciudadanía y DD",25,0,"","","",0,"","","",14,"","","",36,"","","",50,"Buenos Aires","Comunidad","Otros",5
"Balcarce","Cultura y Entretenimiento",31,0,"","","",12,"","","",0,"","","",0,"","","",12,"Buenos Aires","Artes","Otros",3
"Tres Lomas","Trámites",22,0,"","","",0,"","","",50,"","","",70,"","","",120,"Buenos Aires","Trámites Nacionales","ANSES",2
"Tres Lomas","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",1
"Tres Lomas","Cultura y Entretenimiento",31,2,"","","",5,"","","",5,"","","",0,"","","",12,"Buenos Aires","Artes","Otros",1
"Pehuajó","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Otras",1
"Pehuajó","Ciudadanía y DD",25,6,"","","",12,"","","",303,"","","",0,"","","",321,"Buenos Aires","Comunidad","Otros",3
"Pehuajó","Cultura y Entretenimiento",31,5,"","","",9,"","","",0,"","","",0,"","","",14,"Buenos Aires","Uso Libre","Uso libre del espacio de microcine",1
"Esquel","Ciudadanía y DD",25,0,"","","",0,"","","",38,"","","",0,"","","",38,"Chubut","Comunidad","Otros",2
"Esquel","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",24,"","","",24,"Chubut","Alfabetización Digital","Alfabetización Digital Inicial",1
"Esquel","Formación Laboral",13,0,"","","",1,"","","",18,"","","",0,"","","",19,"Chubut","Oficios digitales","Otras",4
"Esquel","Educación",16,0,"","","",7,"","","",14,"","","",0,"","","",21,"Chubut","Complementos de la educación formal","Otros",4
"Esquel","Trámites",22,0,"","","",0,"","","",11,"","","",0,"","","",11,"Chubut","Trámites Nacionales","Otros",1
"Esquel","Cultura y Entretenimiento",31,0,"","","",6,"","","",16,"","","",0,"","","",22,"Chubut","Artes","Otros",3
"Los Altares","Educación",16,0,"","","",3,"","","",3,"","","",0,"","","",6,"Chubut","Complementos de la educación formal","Otros",1
"Los Altares","Trámites",22,0,"","","",0,"","","",3,"","","",1,"","","",4,"Chubut","Trámites Nacionales","Otros",1
"Los Altares","Cultura y Entretenimiento",31,0,"","","",3,"","","",10,"","","",2,"","","",15,"Chubut","Uso Libre","Navegación libre",1
"Rawson (Chubut)","Ciudadanía y DD",25,40,"","","",40,"","","",40,"","","",40,"","","",160,"Chubut","Comunidad","Otros",4
"Río Mayo","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Comunidad","Otros",1
"Río Mayo","Formación Laboral",13,0,"","","",0,"","","",6,"","","",0,"","","",6,"Chubut","Oficios digitales","Otras",1
"Río Mayo","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Complementos de la educación formal","Otros",1
"Río Mayo","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Chubut","Trámites Nacionales","Otros",1
"El Hoyo","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"El Hoyo","Trámites",22,0,"","","",1,"","","",1,"","","",0,"","","",2,"Chubut","Trámites Nacionales","AFIP",1
"El Hoyo","Ciudadanía y DD",25,0,"","","",1,"","","",2,"","","",0,"","","",3,"Chubut","Comunidad","Otros",2
