nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Trámites",22,0,"","","",30,"","","",80,"","","",130,"","","",240,"Buenos Aires","Trámites Nacionales","Otros",1
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",20,"","","",120,"","","",50,"","","",190,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",2,"","","",94,"","","",92,"","","",188,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,13,"","","",19,"","","",7,"","","",5,"","","",44,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",24,"","","",19,"","","",0,"","","",43,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",18,"","","",26,"","","",0,"","","",44,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",1,"","","",140,"","","",346,"","","",487,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Alfabetización Digital",10,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Dolores (CAJ)","Trámites",22,0,"","","",18,"","","",82,"","","",23,"","","",123,"Buenos Aires","Trámites Nacionales","ANSES",9
"General Las Heras","Educación",16,0,"","","",12,"","","",140,"","","",0,"","","",152,"Buenos Aires","Complementos de la educación formal","Otros",4
"General Rodríguez","Trámites",22,0,"","","",0,"","","",15,"","","",6,"","","",21,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"General Rodríguez","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",300,"","","",300,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",3,"","","",56,"","","",7,"","","",66,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",0,"","","",35,"","","",2,"","","",37,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",4,"","","",96,"","","",0,"","","",100,"Buenos Aires","Complementos de la educación formal","Otros",3
"Lanús I (Pupi)","Trámites",22,0,"","","",2,"","","",50,"","","",10,"","","",62,"Buenos Aires","Trámites Nacionales","Otros",2
"Lanús I (Pupi)","Cultura y Entretenimiento",31,15,"","","",40,"","","",4,"","","",0,"","","",59,"Buenos Aires","Uso Libre","Navegación libre",1
"Luján","Alfabetización Digital",10,0,"","","",50,"","","",30,"","","",5,"","","",85,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Luján","Formación Laboral",13,0,"","","",20,"","","",5,"","","",0,"","","",25,"Buenos Aires","Oficios digitales","Otras",1
"Luján","Educación",16,50,"","","",50,"","","",0,"","","",0,"","","",100,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Luján","Trámites",22,0,"","","",55,"","","",100,"","","",10,"","","",165,"Buenos Aires","Trámites Nacionales","PROGRESAR",2
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",50,"","","",950,"Buenos Aires","Comunidad","Otros",1
"Luján","Cultura y Entretenimiento",31,179,"","","",130,"","","",165,"","","",8,"","","",482,"Buenos Aires","Artes","Otros",16
"Marcos Paz I (CIC)","Ciudadanía y DD",25,4,"","","",112,"","","",19,"","","",0,"","","",135,"Buenos Aires","Comunidad","Otros",3
"Marcos Paz II (UMI)","Ciudadanía y DD",25,4,"","","",112,"","","",19,"","","",0,"","","",135,"Buenos Aires","Comunidad","Otros",3
"General Alvarado I (Miramar)","Educación",16,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"General Alvarado I (Miramar)","Ciudadanía y DD",25,78,"","","",105,"","","",60,"","","",0,"","","",243,"Buenos Aires","Comunidad","Otros",3
"General Alvarado I (Miramar)","Cultura y Entretenimiento",31,156,"","","",72,"","","",300,"","","",0,"","","",528,"Buenos Aires","Artes","Otros",2
"Pigüé","Alfabetización Digital",10,6,"","","",27,"","","",102,"","","",29,"","","",164,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Pigüé","Formación Laboral",13,103,"","","",55,"","","",8,"","","",1,"","","",167,"Buenos Aires","Oficios digitales","Otras",2
"Pigüé","Educación",16,59,"","","",19,"","","",0,"","","",0,"","","",78,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Pigüé","Trámites",22,23,"","","",64,"","","",115,"","","",64,"","","",266,"Buenos Aires","Trámites Nacionales","AFIP",2
"Pigüé","Ciudadanía y DD",25,0,"","","",92,"","","",288,"","","",120,"","","",500,"Buenos Aires","Comunidad","Capacitación a agentes municipales",8
"Urdampilleta","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",1,"","","",1,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Urdampilleta","Trámites",22,0,"","","",0,"","","",52,"","","",9,"","","",61,"Buenos Aires","Trámites Nacionales","AFIP",7
"Azul","Trámites",22,0,"","","",40,"","","",120,"","","",50,"","","",210,"Buenos Aires","Trámites Nacionales","Otros",1
"Morón II (Castelar)","Alfabetización Digital",10,0,"","","",12,"","","",93,"","","",41,"","","",146,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Morón II (Castelar)","Educación",16,0,"","","",29,"","","",41,"","","",0,"","","",70,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Morón II (Castelar)","Trámites",22,0,"","","",93,"","","",155,"","","",151,"","","",399,"Buenos Aires","Trámites Nacionales","AFIP",3
"Roque Pérez","Formación Laboral",13,0,"","","",1,"","","",0,"","","",0,"","","",1,"Buenos Aires","Oficios digitales","Otras",1
"Roque Pérez","Cultura y Entretenimiento",31,13,"","","",34,"","","",10,"","","",0,"","","",57,"Buenos Aires","Artes","Otros",1
"Ezeiza","Formación Laboral",13,26,"","","",25,"","","",20,"","","",5,"","","",76,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Alfabetización Digital",10,0,"","","",0,"","","",180,"","","",10,"","","",190,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",132,"","","",0,"","","",132,"Buenos Aires","Oficios digitales","Otras",11
"Mar del Plata II (Inareps)","Trámites",22,0,"","","",0,"","","",59,"","","",11,"","","",70,"Buenos Aires","Trámites Nacionales","Otros",4
"Punta Indio","Formación Laboral",13,0,"","","",8,"","","",0,"","","",0,"","","",8,"Buenos Aires","Oficios digitales","Otras",1
"Punta Indio","Educación",16,0,"","","",78,"","","",0,"","","",0,"","","",78,"Buenos Aires","Complementos de la educación formal","Otros",3
"Balcarce","Trámites",22,0,"","","",4,"","","",20,"","","",12,"","","",36,"Buenos Aires","Trámites Nacionales","Otros",1
"Balcarce","Ciudadanía y DD",25,0,"","","",120,"","","",135,"","","",32,"","","",287,"Buenos Aires","Comunidad","Otros",4
"Balcarce","Cultura y Entretenimiento",31,0,"","","",0,"","","",12,"","","",4,"","","",16,"Buenos Aires","Artes","Otros",1
"Tres Lomas","Trámites",22,0,"","","",15,"","","",135,"","","",60,"","","",210,"Buenos Aires","Trámites Nacionales","ANSES",3
"Pehuajó","Cultura y Entretenimiento",31,0,"","","",0,"","","",200,"","","",0,"","","",200,"Buenos Aires","Artes","Otros",1
"La Plata III (CIE)","Alfabetización Digital",10,0,"","","",4,"","","",2,"","","",0,"","","",6,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"La Plata III (CIE)","Cultura y Entretenimiento",31,3,"","","",13,"","","",11,"","","",0,"","","",27,"Buenos Aires","Artes","Otros",3
"Esquel","Alfabetización Digital",10,0,"","","",42,"","","",0,"","","",0,"","","",42,"Chubut","Alfabetización Digital","Alfabetización Digital Inicial",1
"Esquel","Formación Laboral",13,0,"","","",1,"","","",0,"","","",0,"","","",1,"Chubut","Oficios digitales","Otras",1
"Esquel","Educación",16,0,"","","",0,"","","",43,"","","",0,"","","",43,"Chubut","Complementos de la educación formal","Otros",1
"Esquel","Trámites",22,0,"","","",0,"","","",64,"","","",0,"","","",64,"Chubut","Trámites Nacionales","Otros",2
"Esquel","Cultura y Entretenimiento",31,0,"","","",5,"","","",10,"","","",0,"","","",15,"Chubut","Artes","Otros",2
"Los Altares","Educación",16,0,"","","",1,"","","",7,"","","",0,"","","",8,"Chubut","Complementos de la educación formal","Otros",2
"Los Altares","Trámites",22,0,"","","",2,"","","",6,"","","",1,"","","",9,"Chubut","Trámites Nacionales","Otros",1
"Los Altares","Cultura y Entretenimiento",31,0,"","","",0,"","","",1,"","","",0,"","","",1,"Chubut","Uso Libre","Navegación libre",1
"Rawson (Chubut)","Ciudadanía y DD",25,0,"","","",0,"","","",5,"","","",0,"","","",5,"Chubut","Comunidad","Otros",1
"Río Mayo","Educación",16,0,"","","",10,"","","",20,"","","",0,"","","",30,"Chubut","Complementos de la educación formal","Otros",2
"Río Mayo","Trámites",22,0,"","","",3,"","","",2,"","","",0,"","","",5,"Chubut","Trámites Nacionales","Otros",1
"Río Mayo","Cultura y Entretenimiento",31,10,"","","",0,"","","",7,"","","",0,"","","",17,"Chubut","Artes","Otros",2
"El Hoyo","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"Trevelin","Formación Laboral",13,26,"","","",74,"","","",102,"","","",6,"","","",208,"Chubut","Oficios digitales","Otras",3
"Trevelin","Cultura y Entretenimiento",31,12,"","","",21,"","","",27,"","","",2,"","","",62,"Chubut","Uso Libre","Navegación libre",1
"Gaiman","Formación Laboral",13,0,"","","",2,"","","",22,"","","",0,"","","",24,"Chubut","Oficios digitales","Otras",1
"Gaiman","Trámites",22,0,"","","",14,"","","",24,"","","",20,"","","",58,"Chubut","Trámites Nacionales","PAMI",1
"Gaiman","Ciudadanía y DD",25,0,"","","",31,"","","",63,"","","",9,"","","",103,"Chubut","Comunidad","Otros",4
"Gaiman","Cultura y Entretenimiento",31,0,"","","",11,"","","",35,"","","",14,"","","",60,"Chubut","Uso Libre","Navegación libre",2
"Castelli (Chaco)","Trámites",22,0,"","","",526,"","","",694,"","","",355,"","","",1575,"Chaco","Trámites Nacionales","Otros",7
"Castelli (Chaco)","Cultura y Entretenimiento",31,0,"","","",46,"","","",183,"","","",88,"","","",317,"Chaco","Uso Libre","Uso libre del espacio de microcine",2
"Corzuela","Educación",16,174,"","","",472,"","","",70,"","","",20,"","","",736,"Chaco","Complementos de la educación formal","Apoyo escolar",2
"Corzuela","Trámites",22,300,"","","",100,"","","",400,"","","",0,"","","",800,"Chaco","Trámites Nacionales","Otros",1
"Corzuela","Ciudadanía y DD",25,20,"","","",20,"","","",60,"","","",4,"","","",104,"Chaco","Comunidad","Otros",1
"Corzuela","Cultura y Entretenimiento",31,300,"","","",450,"","","",450,"","","",20,"","","",1220,"Chaco","Uso Libre","Uso libre del espacio de microcine",1
"General San Martín (Chaco)","Formación Laboral",13,0,"","","",3,"","","",70,"","","",0,"","","",73,"Chaco","Oficios manuales","Peluquería",3
"General San Martín (Chaco)","Educación",16,29,"","","",6,"","","",20,"","","",0,"","","",55,"Chaco","Complementos de la educación formal","Otros",3
"Puerto Tirol","Trámites",22,0,"","","",200,"","","",280,"","","",50,"","","",530,"Chaco","Trámites Nacionales","Otros",1
"Puerto Tirol","Cultura y Entretenimiento",31,60,"","","",170,"","","",200,"","","",30,"","","",460,"Chaco","Uso Libre","Navegación libre",1
"Quitilipi","Trámites",22,0,"","","",265,"","","",591,"","","",90,"","","",946,"Chaco","Trámites Nacionales","Otros",9
"Quitilipi","Ciudadanía y DD",25,0,"","","",0,"","","",111,"","","",210,"","","",321,"Chaco","Comunidad","Otros",4
"Quitilipi","Cultura y Entretenimiento",31,0,"","","",0,"","","",35,"","","",0,"","","",35,"Chaco","Artes","Otros",1
"Villa Angela","Ciudadanía y DD",25,0,"","","",1400,"","","",1400,"","","",0,"","","",2800,"Chaco","Comunidad","Otros",2
"Laguna Blanca (Chaco)","Trámites",22,128,"","","",482,"","","",764,"","","",312,"","","",1686,"Chaco","Trámites Municipales","MUNICIPIO",3
"Laguna Blanca (Chaco)","Ciudadanía y DD",25,18,"","","",126,"","","",334,"","","",96,"","","",574,"Chaco","Comunidad","Otros",1
"Laguna Blanca (Chaco)","Cultura y Entretenimiento",31,48,"","","",148,"","","",106,"","","",36,"","","",338,"Chaco","Artes","Otros",1
"Alto Alegre","Educación",16,20,"","","",30,"","","",0,"","","",0,"","","",50,"Córdoba","Complementos de la educación formal","Apoyo escolar",1
"Alto Alegre","Trámites",22,30,"","","",50,"","","",60,"","","",40,"","","",180,"Córdoba","Trámites Nacionales","Otros",1
"Colonia Bismarck","Alfabetización Digital",10,40,"","","",45,"","","",0,"","","",0,"","","",85,"Córdoba","Alfabetización Digital","Alfabetización Digital Inicial",1
"Colonia Bismarck","Formación Laboral",13,0,"","","",3,"","","",7,"","","",2,"","","",12,"Córdoba","Oficios digitales","Otras",1
"Colonia Bismarck","Educación",16,30,"","","",10,"","","",0,"","","",0,"","","",40,"Córdoba","Complementos de la educación formal","Apoyo escolar",1
"Colonia Bismarck","Trámites",22,0,"","","",8,"","","",40,"","","",46,"","","",94,"Córdoba","Trámites Nacionales","Otros",2
"Colonia Bismarck","Ciudadanía y DD",25,0,"","","",3,"","","",6,"","","",1,"","","",10,"Córdoba","Comunidad","Capacitación a agentes municipales",1
"Colonia Bismarck","Cultura y Entretenimiento",31,35,"","","",33,"","","",23,"","","",0,"","","",91,"Córdoba","Artes","Otros",3
"Las Acequias","Educación",16,30,"","","",0,"","","",3,"","","",0,"","","",33,"Córdoba","Complementos de la educación formal","Otros",1
"Las Acequias","Trámites",22,0,"","","",0,"","","",15,"","","",0,"","","",15,"Córdoba","Trámites Nacionales","ANSES",1
