nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Salto Encantado","Cultura y Entretenimiento",31,111,"","","",138,"","","",112,"","","",14,"","","",375,"Misiones","Artes","Otros",2
"Mar del Plata III (Polideportivo Libertad)","Formación Laboral",13,34,"","","",12,"","","",127,"","","",0,"","","",173,"Buenos Aires","Oficios digitales","Otras",7
"Mar del Plata III (Polideportivo Libertad)","Ciudadanía y DD",25,0,"","","",23,"","","",0,"","","",0,"","","",23,"Buenos Aires","Comunidad","Otros",1
"San Nicolás de los Arroyos I","Cultura y Entretenimiento",31,0,"","","",200,"","","",600,"","","",0,"","","",800,"Buenos Aires","Uso Libre","Navegación libre",1
"Estancia Vieja","Formación Laboral",13,0,"","","",0,"","","",4,"","","",0,"","","",4,"Córdoba","Oficios digitales","Otras",1
"Estancia Vieja","Trámites",22,2,"","","",3,"","","",3,"","","",0,"","","",8,"Córdoba","Trámites Municipales","MUNICIPIO",1
"Estancia Vieja","Ciudadanía y DD",25,0,"","","",0,"","","",24,"","","",0,"","","",24,"Córdoba","Comunidad","Otros",2
"Estancia Vieja","Cultura y Entretenimiento",31,0,"","","",7,"","","",30,"","","",5,"","","",42,"Córdoba","Artes","Otros",3
"Villa de Soto","Formación Laboral",13,14,"","","",1,"","","",8,"","","",0,"","","",23,"Córdoba","Oficios digitales","Programación",2
"Villa de Soto","Educación",16,17,"","","",0,"","","",0,"","","",0,"","","",17,"Córdoba","Complementos de la educación formal","Idiomas",2
"Villa de Soto","Cultura y Entretenimiento",31,2,"","","",10,"","","",0,"","","",0,"","","",12,"Córdoba","Uso Libre","Navegación libre",1
"Ticino","Alfabetización Digital",10,8,"","","",12,"","","",30,"","","",0,"","","",50,"Córdoba","Alfabetización Digital","Alfabetización Digital Inicial",2
"Ticino","Educación",16,18,"","","",2,"","","",157,"","","",15,"","","",192,"Córdoba","Complementos de la educación formal","Otros",7
"Ticino","Trámites",22,0,"","","",37,"","","",133,"","","",6,"","","",176,"Córdoba","Trámites Nacionales","Otros",3
"Ticino","Cultura y Entretenimiento",31,0,"","","",18,"","","",40,"","","",0,"","","",58,"Córdoba","Artes","Otros",5
