nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",5,"","","",25,"","","",0,"","","",30,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",2,"","","",10,"","","",0,"","","",12,"Buenos Aires","Artes","Otros",1
"Mar del Plata I (Polideportivo Las Heras)","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",2
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",30,"","","",0,"","","",30,"Buenos Aires","Complementos de la educación formal","FINES",1
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",0,"","","",200,"","","",0,"","","",200,"Buenos Aires","Artes","Otros",1
"Marcos Paz I (CIC)","Alfabetización Digital",10,0,"","","",24,"","","",21,"","","",0,"","","",45,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Marcos Paz I (CIC)","Formación Laboral",13,0,"","","",10,"","","",14,"","","",0,"","","",24,"Buenos Aires","Oficios digitales","Otras",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",5,"","","",6,"","","",0,"","","",11,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
