nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",19,"","","",8,"","","",27,"Buenos Aires","Comunidad","Otros",4
"Berisso I","Formación Laboral",13,0,"","","",20,"","","",20,"","","",0,"","","",40,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",85,"","","",220,"","","",0,"","","",305,"Buenos Aires","Trámites Nacionales","Otros",4
"Berisso I","Cultura y Entretenimiento",31,0,"","","",50,"","","",150,"","","",150,"","","",350,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",10,"","","",2,"","","",12,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",9,"","","",5,"","","",14,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",18,"","","",120,"","","",35,"","","",173,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",9,"","","",0,"","","",9,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",5,"","","",1,"","","",0,"","","",6,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",6,"","","",290,"","","",138,"","","",434,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,4,"","","",3,"","","",6,"","","",1,"","","",14,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",41,"","","",55,"","","",0,"","","",96,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",24,"","","",0,"","","",24,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",19,"","","",84,"","","",62,"","","",165,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",1
"Dolores (CAJ)","Alfabetización Digital",10,0,"","","",0,"","","",3,"","","",5,"","","",8,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Dolores (CAJ)","Educación",16,6,"","","",4,"","","",1,"","","",0,"","","",11,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Dolores (CAJ)","Trámites",22,0,"","","",0,"","","",0,"","","",12,"","","",12,"Buenos Aires","Trámites Nacionales","PAMI",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",0,"","","",3,"","","",0,"","","",3,"Buenos Aires","Comunidad","Otros",2
"General La Madrid","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",1
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",0,"","","",16,"","","",0,"","","",16,"Buenos Aires","Artes","Otros",2
"General Las Heras","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",4
"General Las Heras","Alfabetización Digital",10,0,"","","",2,"","","",8,"","","",0,"","","",10,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",4,"","","",54,"","","",0,"","","",58,"Buenos Aires","Complementos de la educación formal","Otros",4
"General Rodríguez","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"General Rodríguez","Trámites",22,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Cultura y Entretenimiento",31,0,"","","",0,"","","",300,"","","",400,"","","",700,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Ciudadanía y DD",25,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunidad","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",3,"","","",20,"","","",8,"","","",31,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",20,"","","",30,"","","",0,"","","",50,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",3,"","","",17,"","","",0,"","","",20,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",10,"","","",47,"","","",5,"","","",62,"Buenos Aires","Complementos de la educación formal","Otros",2
"Lanús I (Pupi)","Trámites",22,0,"","","",33,"","","",50,"","","",25,"","","",108,"Buenos Aires","Trámites Nacionales","Otros",2
"Luján","Alfabetización Digital",10,40,"","","",15,"","","",15,"","","",0,"","","",70,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Luján","Formación Laboral",13,0,"","","",20,"","","",15,"","","",0,"","","",35,"Buenos Aires","Oficios digitales","Otras",1
"Luján","Educación",16,85,"","","",20,"","","",0,"","","",0,"","","",105,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Luján","Trámites",22,0,"","","",70,"","","",150,"","","",0,"","","",220,"Buenos Aires","Trámites Nacionales","PROGRESAR",2
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",0,"","","",900,"Buenos Aires","Comunidad","Otros",1
"Luján","Cultura y Entretenimiento",31,145,"","","",169,"","","",184,"","","",4,"","","",502,"Buenos Aires","Artes","Otros",16
"Mar del Plata I (Polideportivo Las Heras)","Ciudadanía y DD",25,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",2
"Mar del Plata I (Polideportivo Las Heras)","Alfabetización Digital",10,0,"","","",0,"","","",100,"","","",0,"","","",100,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Mar del Plata I (Polideportivo Las Heras)","Formación Laboral",13,0,"","","",0,"","","",500,"","","",0,"","","",500,"Buenos Aires","Oficios digitales","Otras",1
