nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",20,"","","",0,"","","",0,"","","",20,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",2
"Berisso I","Alfabetización Digital",10,0,"","","",8,"","","",15,"","","",0,"","","",23,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Berisso I","Salud",19,10,"","","",8,"","","",0,"","","",0,"","","",18,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",0,"","","",35,"","","",0,"","","",35,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",3,"","","",2,"","","",0,"","","",5,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Ciudadanía y DD",25,0,"","","",4,"","","",15,"","","",0,"","","",19,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",1
"Cañuelas","Alfabetización Digital",10,0,"","","",11,"","","",55,"","","",20,"","","",86,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",20,"","","",126,"","","",0,"","","",146,"Buenos Aires","Inserción al mundo laboral","Armado de CV",5
"Cañuelas","Salud",19,0,"","","",0,"","","",18,"","","",0,"","","",18,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Cañuelas","Trámites",22,0,"","","",55,"","","",175,"","","",143,"","","",373,"Buenos Aires","Trámites Municipales","MUNICIPIO",5
"Cañuelas","Ciudadanía y DD",25,0,"","","",9,"","","",0,"","","",0,"","","",9,"Buenos Aires","Comunidad","Otros",1
