nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",8,"","","",25,"","","",0,"","","",33,"Buenos Aires","Comunidad","Otros",4
"Berisso I","Formación Laboral",13,0,"","","",0,"","","",12,"","","",0,"","","",12,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",0,"","","",8,"","","",0,"","","",8,"Buenos Aires","Trámites Nacionales","Otros",1
"Berisso I","Cultura y Entretenimiento",31,45,"","","",50,"","","",10,"","","",0,"","","",105,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",12,"","","",6,"","","",18,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",16,"","","",10,"","","",26,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",1,"","","",6,"","","",3,"","","",10,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,2,"","","",15,"","","",4,"","","",0,"","","",21,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,2,"","","",19,"","","",107,"","","",17,"","","",145,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,71,"","","",10,"","","",21,"","","",3,"","","",105,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",9,"","","",27,"","","",0,"","","",36,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,"","","",19,"","","",44,"","","",28,"","","",91,"Buenos Aires","Trámites Nacionales","ANSES",3
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",40,"","","",0,"","","",40,"Buenos Aires","Comunidad","Capacitación a agentes municipales",2
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",18,"","","",185,"","","",32,"","","",235,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",4,"","","",14,"","","",9,"","","",27,"Buenos Aires","Comunidad","Otros",7
"Dolores (CAJ)","Cultura y Entretenimiento",31,3,"","","",21,"","","",12,"","","",10,"","","",46,"Buenos Aires","Uso Libre","Navegación libre",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",2,"","","",9,"","","",0,"","","",11,"Buenos Aires","Comunidad","Otros",6
"General La Madrid","Alfabetización Digital",10,0,"","","",2,"","","",15,"","","",1,"","","",18,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General La Madrid","Salud",19,0,"","","",1,"","","",13,"","","",0,"","","",14,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"General La Madrid","Ciudadanía y DD",25,0,"","","",2,"","","",11,"","","",0,"","","",13,"Buenos Aires","Comunidad","Otros",1
"General La Madrid","Cultura y Entretenimiento",31,12,"","","",7,"","","",13,"","","",0,"","","",32,"Buenos Aires","Artes","Otros",2
"General Las Heras","Ciudadanía y DD",25,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",6
"General Las Heras","Alfabetización Digital",10,0,"","","",0,"","","",8,"","","",2,"","","",10,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Las Heras","Educación",16,0,"","","",24,"","","",38,"","","",0,"","","",62,"Buenos Aires","Complementos de la educación formal","Otros",6
"General Rodríguez","Trámites",22,0,"","","",0,"","","",15,"","","",10,"","","",25,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Cultura y Entretenimiento",31,500,"","","",500,"","","",1500,"","","",400,"","","",2900,"Buenos Aires","Artes","Otros",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",3,"","","",83,"","","",9,"","","",95,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,"","","",6,"","","",44,"","","",6,"","","",56,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Lanús I (Pupi)","Formación Laboral",13,0,"","","",0,"","","",21,"","","",0,"","","",21,"Buenos Aires","Oficios digitales","Otras",1
"Lanús I (Pupi)","Educación",16,0,"","","",61,"","","",227,"","","",15,"","","",303,"Buenos Aires","Complementos de la educación formal","Otros",6
"Lanús I (Pupi)","Trámites",22,0,"","","",20,"","","",20,"","","",15,"","","",55,"Buenos Aires","Trámites Nacionales","Otros",2
"Luján","Alfabetización Digital",10,40,"","","",15,"","","",20,"","","",0,"","","",75,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Luján","Formación Laboral",13,5,"","","",15,"","","",0,"","","",0,"","","",20,"Buenos Aires","Oficios digitales","Otras",1
"Luján","Educación",16,0,"","","",75,"","","",0,"","","",0,"","","",75,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",3
"Luján","Trámites",22,0,"","","",70,"","","",100,"","","",0,"","","",170,"Buenos Aires","Trámites Nacionales","PROGRESAR",2
"Luján","Ciudadanía y DD",25,0,"","","",300,"","","",600,"","","",50,"","","",950,"Buenos Aires","Comunidad","Otros",1
