nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",16,"","","",44,"","","",0,"","","",60,"Buenos Aires","Comunidad","Otros",7
"Berisso I","Trámites",22,0,"","","",4,"","","",38,"","","",0,"","","",42,"Buenos Aires","Trámites Nacionales","AFIP",3
"Cañuelas","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",3
"Cañuelas","Trámites",22,0,"","","",5,"","","",13,"","","",3,"","","",21,"Buenos Aires","Trámites Nacionales","Otros",2
"Cañuelas","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",10,"","","",135,"","","",20,"","","",165,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",8,"","","",1,"","","",0,"","","",9,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",34,"","","",0,"","","",34,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",0,"","","",1,"","","",3,"","","",4,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",18,"","","",21,"","","",39,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Trámites",22,7,"","","",11,"","","",167,"","","",4,"","","",189,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",7,"","","",7,"","","",0,"","","",14,"Buenos Aires","Comunidad","Otros",7
"Marcos Paz I (CIC)","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,85,"","","",155,"","","",78,"","","",1,"","","",319,"Buenos Aires","Comunidad","Otros",9
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
"Marcos Paz II (UMI)","Ciudadanía y DD",25,0,"","","",7,"","","",7,"","","",0,"","","",14,"Buenos Aires","Comunidad","Otros",7
"Marcos Paz II (UMI)","Ciudadanía y DD",25,64,"","","",150,"","","",73,"","","",1,"","","",288,"Buenos Aires","Comunidad","Otros",8
"General Alvarado I (Miramar)","Ciudadanía y DD",25,129,"","","",46,"","","",110,"","","",12,"","","",297,"Buenos Aires","Comunidad","Otros",4
"Pigüé","Ciudadanía y DD",25,14,"","","",7,"","","",34,"","","",9,"","","",64,"Buenos Aires","Comunidad","Otros",1
"Urdampilleta","Trámites",22,0,"","","",0,"","","",13,"","","",4,"","","",17,"Buenos Aires","Trámites Nacionales","Otros",3
"Villa Gesell","Trámites",22,0,"","","",105,"","","",360,"","","",49,"","","",514,"Buenos Aires","Trámites Nacionales","ANSES",1
"Villa Gesell","Ciudadanía y DD",25,40,"","","",70,"","","",38,"","","",15,"","","",163,"Buenos Aires","Comunidad","Otros",1
"Villa Gesell","Cultura y Entretenimiento",31,440,"","","",328,"","","",435,"","","",50,"","","",1253,"Buenos Aires","Artes","Otros",2
"Azul","Ciudadanía y DD",25,0,"","","",60,"","","",86,"","","",40,"","","",186,"Buenos Aires","Comunidad","Otros",7
"Azul","Salud",19,0,"","","",0,"","","",50,"","","",10,"","","",60,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
