nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Dolores (CAJ)","Trámites",22,0,"","","",0,"","","",27,"","","",1,"","","",28,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"General Las Heras","Educación",16,5,"","","",17,"","","",0,"","","",0,"","","",22,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",4
"Mar del Plata I (Polideportivo Las Heras)","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",50,"","","",50,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Mar del Plata I (Polideportivo Las Heras)","Formación Laboral",13,0,"","","",0,"","","",15,"","","",0,"","","",15,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",0,"","","",15,"","","",15,"Buenos Aires","Complementos de la educación formal","Otros",1
"Mar del Plata I (Polideportivo Las Heras)","Trámites",22,0,"","","",0,"","","",82,"","","",0,"","","",82,"Buenos Aires","Trámites Nacionales","Otros",3
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",130,"","","",0,"","","",0,"","","",130,"Buenos Aires","Uso Libre","Navegación libre",1
"Marcos Paz I (CIC)","Alfabetización Digital",10,0,"","","",24,"","","",21,"","","",0,"","","",45,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Marcos Paz I (CIC)","Formación Laboral",13,0,"","","",10,"","","",14,"","","",0,"","","",24,"Buenos Aires","Oficios digitales","Otras",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",5,"","","",6,"","","",0,"","","",11,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",3
"Marcos Paz II (UMI)","Educación",16,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","Otros",1
"Marcos Paz II (UMI)","Alfabetización Digital",10,0,"","","",39,"","","",41,"","","",0,"","","",80,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",6
"Azul","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Azul","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Programación",4
"Azul","Trámites",22,0,"","","",60,"","","",100,"","","",60,"","","",220,"Buenos Aires","Trámites Nacionales","Otros",2
"Mar del Plata II (Inareps)","Alfabetización Digital",10,0,"","","",0,"","","",120,"","","",0,"","","",120,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",199,"","","",0,"","","",199,"Buenos Aires","Oficios digitales","Otras",4
