nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",25,"","","",10,"","","",0,"","","",35,"Buenos Aires","Comunidad","Otros",1
"Berisso I","Alfabetización Digital",10,0,"","","",25,"","","",0,"","","",0,"","","",25,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Berisso I","Trámites",22,0,"","","",0,"","","",60,"","","",0,"","","",60,"Buenos Aires","Trámites Nacionales","AFIP",3
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",8,"","","",1,"","","",9,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,2,"","","",3,"","","",0,"","","",0,"","","",5,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",35,"","","",2,"","","",37,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",18,"","","",31,"","","",3,"","","",52,"Buenos Aires","Artes","Otros",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",1,"","","",14,"","","",0,"","","",15,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",29,"","","",0,"","","",29,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Trámites",22,1,"","","",0,"","","",9,"","","",0,"","","",10,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"Luján","Alfabetización Digital",10,0,"","","",90,"","","",80,"","","",55,"","","",225,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Luján","Educación",16,20,"","","",30,"","","",0,"","","",0,"","","",50,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Luján","Cultura y Entretenimiento",31,110,"","","",240,"","","",390,"","","",90,"","","",830,"Buenos Aires","Artes","Otros",12
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",15,"","","",0,"","","",15,"Buenos Aires","Complementos de la educación formal","FINES",1
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",0,"","","",100,"","","",0,"","","",100,"Buenos Aires","Artes","Otros",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",5,"","","",5,"","","",0,"","","",10,"Buenos Aires","Comunidad","Otros",5
"Marcos Paz I (CIC)","Alfabetización Digital",10,54,"","","",94,"","","",46,"","","",0,"","","",194,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",8
"Marcos Paz I (CIC)","Formación Laboral",13,3,"","","",49,"","","",18,"","","",0,"","","",70,"Buenos Aires","Oficios digitales","Otras",2
"Marcos Paz I (CIC)","Educación",16,1,"","","",15,"","","",0,"","","",0,"","","",16,"Buenos Aires","Complementos de la educación formal","Idiomas",1
"Marcos Paz I (CIC)","Ciudadanía y DD",25,46,"","","",28,"","","",25,"","","",0,"","","",99,"Buenos Aires","Comunidad","Capacitación a agentes municipales",6
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",2
"Marcos Paz II (UMI)","Ciudadanía y DD",25,0,"","","",7,"","","",7,"","","",0,"","","",14,"Buenos Aires","Comunidad","Otros",7
"Marcos Paz II (UMI)","Alfabetización Digital",10,58,"","","",125,"","","",78,"","","",0,"","","",261,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",10
"Marcos Paz II (UMI)","Educación",16,1,"","","",15,"","","",0,"","","",0,"","","",16,"Buenos Aires","Complementos de la educación formal","Idiomas",1
"Marcos Paz II (UMI)","Ciudadanía y DD",25,46,"","","",8,"","","",0,"","","",0,"","","",54,"Buenos Aires","Comunidad","Otros",4
"General Alvarado I (Miramar)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"General Alvarado I (Miramar)","Ciudadanía y DD",25,325,"","","",322,"","","",567,"","","",130,"","","",1344,"Buenos Aires","Comunidad","Otros",3
"Urdampilleta","Ciudadanía y DD",25,0,"","","",0,"","","",5,"","","",0,"","","",5,"Buenos Aires","Comunidad","Otros",5
"Urdampilleta","Trámites",22,0,"","","",0,"","","",19,"","","",10,"","","",29,"Buenos Aires","Trámites Nacionales","Otros",2
"Villa Gesell","Trámites",22,0,"","","",71,"","","",320,"","","",15,"","","",406,"Buenos Aires","Trámites Nacionales","ANSES",1
"Villa Gesell","Ciudadanía y DD",25,73,"","","",40,"","","",39,"","","",10,"","","",162,"Buenos Aires","Comunidad","Otros",1
"Villa Gesell","Cultura y Entretenimiento",31,337,"","","",342,"","","",400,"","","",70,"","","",1149,"Buenos Aires","Artes","Otros",2
"Azul","Ciudadanía y DD",25,0,"","","",31,"","","",92,"","","",0,"","","",123,"Buenos Aires","Comunidad","Otros",13
"Azul","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Azul","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Programación",4
"Azul","Salud",19,0,"","","",0,"","","",50,"","","",10,"","","",60,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Azul","Trámites",22,0,"","","",10,"","","",50,"","","",2,"","","",62,"Buenos Aires","Trámites Nacionales","Otros",2
"Morón II (Castelar)","Ciudadanía y DD",25,0,"","","",0,"","","",16,"","","",10,"","","",26,"Buenos Aires","Comunidad","Otros",2
"Morón II (Castelar)","Trámites",22,0,"","","",38,"","","",81,"","","",87,"","","",206,"Buenos Aires","Trámites Nacionales","AFIP",2
"Morón II (Castelar)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Ezeiza","Alfabetización Digital",10,10,"","","",10,"","","",10,"","","",2,"","","",32,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Ezeiza","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Oficios digitales","Otras",1
"Mar del Plata II (Inareps)","Alfabetización Digital",10,0,"","","",2,"","","",148,"","","",26,"","","",176,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",3
"Mar del Plata II (Inareps)","Formación Laboral",13,0,"","","",0,"","","",148,"","","",21,"","","",169,"Buenos Aires","Oficios manuales","Agricultura Orgánica",7
"Mar del Plata II (Inareps)","Trámites",22,0,"","","",0,"","","",220,"","","",10,"","","",230,"Buenos Aires","Trámites Nacionales","Otros",1
"Balcarce","Ciudadanía y DD",25,0,"","","",1,"","","",1,"","","",0,"","","",2,"Buenos Aires","Comunidad","Otros",1
"Tres Lomas","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Tres Lomas","Educación",16,1,"","","",3,"","","",1,"","","",0,"","","",5,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Tres Lomas","Trámites",22,0,"","","",45,"","","",138,"","","",45,"","","",228,"Buenos Aires","Trámites Nacionales","ANSES",2
"Tres Lomas","Cultura y Entretenimiento",31,0,"","","",3,"","","",101,"","","",12,"","","",116,"Buenos Aires","Artes","Otros",2
"Pehuajó","Ciudadanía y DD",25,0,"","","",34,"","","",134,"","","",14,"","","",182,"Buenos Aires","Comunidad","Otros",10
"Pehuajó","Alfabetización Digital",10,20,"","","",80,"","","",0,"","","",0,"","","",100,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Pehuajó","Formación Laboral",13,0,"","","",15,"","","",0,"","","",0,"","","",15,"Buenos Aires","Oficios digitales","Otras",1
"Pehuajó","Ciudadanía y DD",25,0,"","","",5,"","","",49,"","","",18,"","","",72,"Buenos Aires","Comunidad","Otros",2
"Pehuajó","Cultura y Entretenimiento",31,0,"","","",0,"","","",62,"","","",0,"","","",62,"Buenos Aires","Uso Libre","Uso libre del espacio de microcine",3
"Espacio de Memoria (Ex Esma)","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Ciudad Autónoma de Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Espacio de Memoria (Ex Esma)","Educación",16,0,"","","",30,"","","",70,"","","",0,"","","",100,"Ciudad Autónoma de Buenos Aires","Complementos de la educación formal","FINES",4
"Espacio de Memoria (Ex Esma)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Ciudad Autónoma de Buenos Aires","Uso Libre","Navegación libre",1
"Esquel","Ciudadanía y DD",25,0,"","","",0,"","","",223,"","","",0,"","","",223,"Chubut","Comunidad","Otros",11
"Esquel","Educación",16,0,"","","",0,"","","",2,"","","",0,"","","",2,"Chubut","Complementos de la educación formal","Otros",1
"Esquel","Cultura y Entretenimiento",31,0,"","","",0,"","","",10,"","","",0,"","","",10,"Chubut","Artes","Otros",1
"Los Altares","Educación",16,0,"","","",3,"","","",12,"","","",1,"","","",16,"Chubut","Complementos de la educación formal","Otros",2
"Los Altares","Trámites",22,0,"","","",0,"","","",7,"","","",2,"","","",9,"Chubut","Trámites Nacionales","Otros",1
"Rawson (Chubut)","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Comunidad","Otros",7
"Río Mayo","Trámites",22,0,"","","",1,"","","",3,"","","",0,"","","",4,"Chubut","Trámites Nacionales","Otros",1
"El Hoyo","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Chubut","Comunidad","Otros",2
"El Hoyo","Formación Laboral",13,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Oficios digitales","Otras",1
"El Hoyo","Trámites",22,0,"","","",0,"","","",1,"","","",0,"","","",1,"Chubut","Trámites Nacionales","AFIP",2
"El Hoyo","Ciudadanía y DD",25,0,"","","",4,"","","",8,"","","",4,"","","",16,"Chubut","Comunidad","Otros",2
"El Hoyo","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Chubut","Uso Libre","Navegación libre",1
"Trevelin","Educación",16,0,"","","",0,"","","",6,"","","",0,"","","",6,"Chubut","Complementos de la educación formal","Videoconferencias formativas",1
"Gaiman","Ciudadanía y DD",25,0,"","","",33,"","","",54,"","","",20,"","","",107,"Chubut","Comunidad","Otros",13
"Gaiman","Trámites",22,0,"","","",27,"","","",45,"","","",19,"","","",91,"Chubut","Trámites Nacionales","Otros",4
"Gaiman","Ciudadanía y DD",25,0,"","","",0,"","","",3,"","","",0,"","","",3,"Chubut","Comunidad","Capacitación a agentes municipales",1
