nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",59,"","","",0,"","","",59,"Buenos Aires","Comunidad","Otros",9
"Berisso I","Alfabetización Digital",10,0,"","","",25,"","","",0,"","","",0,"","","",25,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Formación Laboral",13,4,"","","",120,"","","",15,"","","",0,"","","",139,"Buenos Aires","Oficios digitales","Otras",2
"Berisso I","Trámites",22,0,"","","",4,"","","",35,"","","",0,"","","",39,"Buenos Aires","Trámites Nacionales","AFIP",3
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",11,"","","",0,"","","",11,"Buenos Aires","Oficios digitales","Otras",2
"Coronel Suárez I (Colonia Santa María)","Educación",16,3,"","","",6,"","","",3,"","","",0,"","","",12,"Buenos Aires","Complementos de la educación formal","Otros",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",0,"","","",30,"","","",2,"","","",32,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,0,"","","",5,"","","",5,"","","",0,"","","",10,"Buenos Aires","Artes","Otros",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",2,"","","",19,"","","",0,"","","",21,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",1,"","","",16,"","","",0,"","","",17,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Trámites",22,0,"","","",2,"","","",24,"","","",0,"","","",26,"Buenos Aires","Trámites Nacionales","Otros",5
"Dolores (CAJ)","Cultura y Entretenimiento",31,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Artes","Otros",1
"Luján","Cultura y Entretenimiento",31,40,"","","",120,"","","",370,"","","",80,"","","",610,"Buenos Aires","Artes","Otros",7
"Marcos Paz I (CIC)","Ciudadanía y DD",25,0,"","","",2,"","","",2,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",2
