nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Capacitaciones PPD",34,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Comunicación","",1
"Berisso I","Alfabetización Digital",10,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",45,"","","",106,"","","",0,"","","",151,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Cañuelas","Alfabetización Digital",10,0,"","","",4,"","","",81,"","","",0,"","","",85,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Cañuelas","Formación Laboral",13,0,"","","",51,"","","",153,"","","",0,"","","",204,"Buenos Aires","Inserción al mundo laboral","Armado de CV",5
"Cañuelas","Educación",16,0,"","","",31,"","","",148,"","","",0,"","","",179,"Buenos Aires","Complementos de la educación formal","FINES",8
"Cañuelas","Trámites",22,0,"","","",130,"","","",853,"","","",73,"","","",1056,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Ciudadanía y DD",25,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Comunidad","Otros",1
"Cañuelas","Cultura y Entretenimiento",31,60,"","","",377,"","","",76,"","","",0,"","","",513,"Buenos Aires","Uso Libre","Navegación libre",2
"Carmen de Patagones","Educación",16,0,"","","",80,"","","",260,"","","",200,"","","",540,"Buenos Aires","Complementos de la educación formal","Otros",2
"Carmen de Patagones","Cultura y Entretenimiento",31,32,"","","",0,"","","",200,"","","",100,"","","",332,"Buenos Aires","Artes","Otros",2
