nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Educación",16,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,15,"Buenos Aires","Complementos de la educación formal","Otros",1
"Berisso I","Salud",19,0,0,0,0,35,15,20,0,27,12,15,0,0,0,0,0,62,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Berisso I","Trámites",22,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,8,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Berisso I","Ciudadanía y DD",25,3,2,1,0,29,12,17,0,64,29,35,0,0,0,0,0,96,"Buenos Aires","Comunidad","Otros",2
"Berisso I","Cultura y Entretenimiento",31,61,36,25,0,55,26,29,0,0,0,0,0,0,0,0,0,116,"Buenos Aires","Artes","Música",4
"Cañuelas","Alfabetización Digital",10,0,0,0,0,57,12,45,0,218,165,53,0,45,39,6,0,320,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",5
"Cañuelas","Formación Laboral",13,0,0,0,0,5,1,4,0,167,40,127,0,1,1,0,0,173,"Buenos Aires","Oficios manuales","Otras",3
"Cañuelas","Educación",16,0,0,0,0,0,0,0,0,337,238,99,0,5,5,0,0,342,"Buenos Aires","Complementos de la educación formal","FINES",9
"Cañuelas","Trámites",22,0,0,0,0,64,34,30,0,197,98,99,0,108,51,57,0,369,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Cañuelas","Cultura y Entretenimiento",31,69,11,58,0,328,93,235,0,91,29,62,0,8,3,5,0,496,"Buenos Aires","Uso Libre","Uso libre de la consola de videojuegos",2
"Carmen de Patagones","Educación",16,0,0,0,0,120,80,40,0,280,200,80,0,20,0,20,0,420,"Buenos Aires","Complementos de la educación formal","FINES",1
"Carmen de Patagones","Trámites",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Carmen de Patagones","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,220,120,100,0,200,160,40,0,420,"Buenos Aires","Comunidad","Evento / Reunión",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,0,0,0,0,0,0,0,16,15,1,0,42,27,13,2,58,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",6
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,0,0,0,3,2,1,0,96,85,11,0,49,29,17,3,148,"Buenos Aires","Trámites Nacionales","Otros",3
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,2,0,2,0,46,5,41,0,29,21,8,0,32,25,7,0,109,"Buenos Aires","Uso Libre","Navegación libre",3
"Coronel Suarez II (CTC)","Educación",16,0,0,0,0,0,0,0,0,45,0,0,45,0,0,0,0,45,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,0,0,0,19,0,0,19,204,0,0,204,133,0,0,133,356,"Buenos Aires","Trámites Municipales","MUNICIPIO",4
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"General La Madrid","Trámites",22,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,4,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"General La Madrid","Ciudadanía y DD",25,0,0,0,0,60,32,28,0,60,36,24,0,0,0,0,0,120,"Buenos Aires","Comunidad","Evento / Reunión",1
"General La Madrid","Cultura y Entretenimiento",31,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,"Buenos Aires","Uso Libre","Navegación libre",1
"General Las Heras","Educación",16,120,58,62,0,76,32,44,0,72,72,0,0,0,0,0,0,268,"Buenos Aires","Complementos de la educación formal","Otros",7
"General Rodríguez","Educación",16,0,0,0,0,0,0,0,0,35,30,5,0,0,0,0,0,35,"Buenos Aires","Complementos de la educación formal","FINES",1
"General Rodríguez","Salud",19,0,0,0,0,0,0,0,0,18,3,15,0,0,0,0,0,18,"Buenos Aires","Salud","Otros",1
"General Rodríguez","Trámites",22,0,0,0,0,0,0,0,0,100,50,50,0,10,5,5,0,110,"Buenos Aires","Trámites Nacionales","Otros",1
"General Rodríguez","Cultura y Entretenimiento",31,10,5,5,0,10,5,5,0,70,50,20,0,20,10,10,0,110,"Buenos Aires","Artes","Danza",4
"La Matanza II (Villa Palito)","Trámites",22,0,0,0,0,5,2,3,0,37,15,22,0,14,5,9,0,56,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"La Matanza II (Villa Palito)","Cultura y Entretenimiento",31,27,12,15,0,14,8,6,0,0,0,0,0,0,0,0,0,41,"Buenos Aires","Artes","Música",1
"Lanús I (Pupi)","Alfabetización Digital",10,0,0,0,0,50,19,31,0,75,41,34,0,0,0,0,0,125,"Buenos Aires","Alfabetización Digital","Paquete de Office o LibreOffice",2
"Lanús I (Pupi)","Formación Laboral",13,0,0,0,0,0,0,0,0,99,69,30,0,0,0,0,0,99,"Buenos Aires","Oficios manuales","Otras",1
"Lanús I (Pupi)","Educación",16,0,0,0,0,44,30,14,0,257,168,89,0,0,0,0,0,301,"Buenos Aires","Complementos de la educación formal","Otros",4
"Lanús I (Pupi)","Trámites",22,0,0,0,0,6,2,4,0,22,13,9,0,0,0,0,0,28,"Buenos Aires","Trámites Nacionales","MiArgentina",1
"Lanús I (Pupi)","Generos y Diversidades",28,270,141,129,0,0,0,0,0,276,276,0,0,0,0,0,0,546,"Buenos Aires","Maternidades y paternidades","",1
"Lanús I (Pupi)","Cultura y Entretenimiento",31,0,0,0,0,41,5,36,0,0,0,0,0,0,0,0,0,41,"Buenos Aires","Uso Libre","Navegación libre",2
"Laprida","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Buenos Aires","Comunidad","Ciudadanía y Derechos Humanos",1
"Laprida","Alfabetización Digital",10,7,2,5,0,0,0,0,0,98,77,21,0,24,24,0,0,129,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",7
"Laprida","Formación Laboral",13,0,0,0,0,9,6,3,0,181,133,48,0,25,25,0,0,215,"Buenos Aires","Inserción al mundo laboral","Armado de CV",9
"Laprida","Salud",19,0,0,0,0,0,0,0,0,0,0,0,0,32,25,7,0,32,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Laprida","Trámites",22,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Laprida","Ciudadanía y DD",25,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,12,"Buenos Aires","Comunidad","Evento / Reunión",1
"Laprida","Generos y Diversidades",28,0,0,0,0,0,0,0,0,55,50,4,1,10,6,2,2,65,"Buenos Aires","Perspectiva de género","",1
"Laprida","Cultura y Entretenimiento",31,53,30,23,0,69,63,6,0,195,184,5,6,51,47,4,0,368,"Buenos Aires","Artes digitales","Otros",12
"Luján","Capacitaciones PPD",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buenos Aires","Comunicación","",1
"Luján","Formación Laboral",13,0,0,0,0,127,104,23,0,118,90,28,0,0,0,0,0,245,"Buenos Aires","Oficios digitales","Otras",2
"Luján","Educación",16,0,0,0,0,234,135,99,0,166,77,89,0,0,0,0,0,400,"Buenos Aires","Complementos de la educación formal","Otros",1
"Luján","Trámites",22,0,0,0,0,34,15,19,0,78,40,38,0,79,32,47,0,191,"Buenos Aires","Trámites Provinciales","Otros",1
"Luján","Cultura y Entretenimiento",31,200,89,111,0,372,167,205,0,199,69,130,0,0,0,0,0,771,"Buenos Aires","Uso Libre","Uso libre del espacio de microcine",9
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,48,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Mar del Plata I (Polideportivo Las Heras)","Trámites",22,1,0,1,0,2,2,0,0,72,47,25,0,20,14,6,0,95,"Buenos Aires","Trámites Nacionales","Validación de identidad",5
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,240,230,10,0,0,0,0,0,0,0,0,0,0,0,0,0,240,"Buenos Aires","Artes","Danza",1
"Marcos Paz I (CIC)","Alfabetización Digital",10,0,0,0,0,2,2,0,0,25,21,4,0,35,0,35,0,62,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Marcos Paz I (CIC)","Formación Laboral",13,8,2,6,0,6,4,2,0,9,6,3,0,0,0,0,0,23,"Buenos Aires","Oficios digitales","Impresión y Diseño 3D",2
"Marcos Paz I (CIC)","Cultura y Entretenimiento",31,0,0,0,0,4,4,0,0,10,5,5,0,0,0,0,0,14,"Buenos Aires","Artes digitales","Edición de videos",2
"Marcos Paz II (UMI)","Alfabetización Digital",10,0,0,0,0,7,3,4,0,4,1,3,0,4,4,0,0,15,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"General Alvarado I (Miramar)","Alfabetización Digital",10,0,0,0,0,0,0,0,0,42,12,30,0,0,0,0,0,42,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"General Alvarado I (Miramar)","Formación Laboral",13,0,0,0,0,0,0,0,0,80,60,20,0,0,0,0,0,80,"Buenos Aires","Oficios manuales","Manipulación de alimentos",1
"General Alvarado I (Miramar)","Educación",16,45,25,20,0,68,38,30,0,75,60,15,0,18,18,0,0,206,"Buenos Aires","Complementos de la educación formal","Otros",2
"General Alvarado I (Miramar)","Salud",19,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,6,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"General Alvarado I (Miramar)","Trámites",22,0,0,0,0,9,9,0,0,90,70,20,0,8,8,0,0,107,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"General Alvarado I (Miramar)","Cultura y Entretenimiento",31,80,52,28,0,58,28,30,0,0,0,0,0,0,0,0,0,138,"Buenos Aires","Artes","Circo",3
"Pigüé","Alfabetización Digital",10,33,15,18,0,94,53,39,2,192,120,67,5,99,51,48,0,418,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",7
"Pigüé","Educación",16,74,39,35,0,34,15,18,1,37,25,12,0,6,4,2,0,151,"Buenos Aires","Complementos de la educación formal","FINES",2
"Pigüé","Trámites",22,44,20,24,0,70,41,26,3,82,38,43,1,104,62,42,0,300,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Pigüé","Ciudadanía y DD",25,0,0,0,0,14,5,9,0,40,18,20,2,3,0,3,0,57,"Buenos Aires","Comunidad","Capacitación a agentes municipales",1
"Pigüé","Cultura y Entretenimiento",31,0,0,0,0,7,3,4,0,35,29,6,0,37,25,12,0,79,"Buenos Aires","Artes digitales","Fotografía",1
"Pigüé","Capacitaciones PPD",34,0,0,0,0,22,12,8,2,40,25,15,0,8,5,3,0,70,"Buenos Aires","Contenidos","",1
"Quilmes I (La Paz)","Alfabetización Digital",10,0,0,0,0,0,0,0,0,19,18,1,0,0,0,0,0,19,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Quilmes I (La Paz)","Trámites",22,0,0,0,0,0,0,0,0,36,22,14,0,8,7,1,0,44,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Urdampilleta","Formación Laboral",13,0,0,0,0,0,0,0,0,16,8,8,0,0,0,0,0,16,"Buenos Aires","Oficios digitales","Programación",1
"Urdampilleta","Educación",16,20,10,10,0,30,15,15,0,0,0,0,0,0,0,0,0,50,"Buenos Aires","Complementos de la educación formal","FINES",2
"Urdampilleta","Salud",19,0,0,0,0,2,2,0,0,4,4,0,0,29,21,8,0,35,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",1
"Urdampilleta","Trámites",22,0,0,0,0,6,6,0,0,7,7,0,0,0,0,0,0,13,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Villa Gesell","Alfabetización Digital",10,10,5,5,0,166,90,76,0,133,52,81,0,24,8,16,0,333,"Buenos Aires","Alfabetización Digital","Programación para niñxs",4
"Villa Gesell","Formación Laboral",13,0,0,0,0,87,21,66,0,97,23,74,0,0,0,0,0,184,"Buenos Aires","Oficios digitales","Otras",2
"Villa Gesell","Educación",16,40,8,32,0,8,0,8,0,0,0,0,0,0,0,0,0,48,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Villa Gesell","Salud",19,5,2,3,0,1,1,0,0,2,0,2,0,2,1,1,0,10,"Buenos Aires","Salud","Otros",1
"Villa Gesell","Trámites",22,1,1,0,0,91,41,50,0,86,49,37,0,112,45,67,0,290,"Buenos Aires","Trámites Nacionales","MiArgentina",7
"Villa Gesell","Cultura y Entretenimiento",31,190,40,150,0,130,30,100,0,0,0,0,0,0,0,0,0,320,"Buenos Aires","Uso Libre","Uso libre de la consola de videojuegos",1
"General Madariaga","Formación Laboral",13,70,30,40,0,20,10,10,0,0,0,0,0,0,0,0,0,90,"Buenos Aires","Oficios digitales","Otras",1
"General Madariaga","Educación",16,0,0,0,0,200,100,100,0,450,220,230,0,20,10,10,0,670,"Buenos Aires","Complementos de la educación formal","Otros",6
"General Madariaga","Salud",19,0,0,0,0,30,30,0,0,460,290,170,0,30,30,0,0,520,"Buenos Aires","Salud","Uso terapéutico del espacio de entretenimiento",4
"General Madariaga","Cultura y Entretenimiento",31,35,15,20,0,66,36,30,0,180,80,100,0,30,30,0,0,311,"Buenos Aires","Artes","Danza",2
"Azul","Alfabetización Digital",10,0,0,0,0,35,16,19,0,72,34,36,2,52,29,23,0,159,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"Azul","Trámites",22,8,3,5,0,13,9,3,1,106,56,50,0,58,26,32,0,185,"Buenos Aires","Trámites Nacionales","Validación de identidad",3
"Tandil I","Formación Laboral",13,0,0,0,0,16,16,0,0,1361,710,651,0,0,0,0,0,1377,"Buenos Aires","Oficios manuales","Electricidad",15
"Tandil I","Educación",16,0,0,0,0,0,0,0,0,104,72,32,0,0,0,0,0,104,"Buenos Aires","Complementos de la educación formal","Otros",1
"Tandil I","Salud",19,0,0,0,0,0,0,0,0,92,88,4,0,0,0,0,0,92,"Buenos Aires","Salud","Otros",1
